Date,Value
2/1/2016,1128
2/2/2016,1127.2
2/3/2016,1141.3
2/4/2016,1157.5
2/5/2016,1157.7
2/8/2016,1197.9
2/9/2016,1198.6
2/10/2016,1194.6
2/11/2016,1247.8
2/12/2016,1239.4
2/15/2016,1208.45
2/16/2016,1208.2
2/17/2016,1211.4
2/18/2016,1226.3
2/19/2016,1230.8
2/22/2016,1210.1
2/23/2016,1222.6
2/24/2016,1239.1
2/25/2016,1238.8
2/26/2016,1220.4
2/29/2016,1234.4
3/1/2016,1230.8
3/2/2016,1241.8
3/3/2016,1258.2
3/4/2016,1270.7
3/7/2016,1264
3/8/2016,1262.9
3/9/2016,1257.4
3/10/2016,1272.8
3/11/2016,1259.4
3/14/2016,1245.1
3/15/2016,1231
3/16/2016,1229.8
3/17/2016,1265
3/18/2016,1254.3
3/21/2016,1244.2
3/22/2016,1250.3
3/23/2016,1225.6
3/24/2016,1223.5
3/28/2016,1222
3/29/2016,1237.5
3/30/2016,1228.6
3/31/2016,1235.6
4/1/2016,1223.5
4/4/2016,1219.3
4/5/2016,1229.6
4/6/2016,1223.8
4/7/2016,1237.5
4/8/2016,1243.8
4/11/2016,1258
4/12/2016,1260.9
4/13/2016,1248.3
4/14/2016,1226.5
4/15/2016,1234.6
4/18/2016,1235
4/19/2016,1254.3
4/20/2016,1254.4
4/21/2016,1250.3
4/22/2016,1230
4/24/2016,1235.3
4/25/2016,1240.2
4/26/2016,1243.4
4/27/2016,1250.4
4/28/2016,1266.4
4/29/2016,1290.5
5/1/2016,1293.8
5/2/2016,1295.8
5/3/2016,1291.8
5/4/2016,1274.4
5/5/2016,1272.3
5/6/2016,1294
5/8/2016,1286
5/9/2016,1266.6
5/10/2016,1264.8
5/11/2016,1275.5
5/12/2016,1271.2
5/13/2016,1272.7
5/15/2016,1277.9
5/16/2016,1274.2
5/17/2016,1276.9
5/18/2016,1274.4
5/19/2016,1254.8
5/20/2016,1252.9
5/22/2016,1255.1
5/23/2016,1254.9
5/24/2016,1232.2
5/25/2016,1226.6
5/26/2016,1222.7
5/27/2016,1216.7
5/31/2016,1217.5
6/1/2016,1214.7
6/2/2016,1212.6
6/3/2016,1242.9
6/6/2016,1247.4
6/7/2016,1247
6/8/2016,1262.3
6/9/2016,1272.7
6/10/2016,1275.9
6/13/2016,1286.9
6/14/2016,1288.1
6/15/2016,1288.3
6/16/2016,1298.4
6/17/2016,1294.8
6/20/2016,1292.1
6/21/2016,1272.5
6/22/2016,1270
6/23/2016,1263.1
6/24/2016,1322.4
6/27/2016,1324.7
6/28/2016,1317.9
6/29/2016,1326.9
6/30/2016,1320.6
7/1/2016,1339
7/4/2016,1353.5
7/5/2016,1358.7
7/6/2016,1367.1
7/7/2016,1362.1
7/8/2016,1358.4
7/11/2016,1356.6
7/12/2016,1335.3
7/13/2016,1343.6
7/14/2016,1332.2
7/15/2016,1327.4
7/18/2016,1329.3
7/19/2016,1332.3
7/20/2016,1319.3
7/21/2016,1338.9
7/22/2016,1331.5
7/25/2016,1327.2
7/26/2016,1328.3
7/27/2016,1334.5
7/28/2016,1341.2
7/29/2016,1357.5
8/1/2016,1359.6
8/2/2016,1372.6
8/3/2016,1364.7
8/4/2016,1367.4
8/5/2016,1344.4
8/8/2016,1341.3
8/9/2016,1346.7
8/10/2016,1351.9
8/11/2016,1350
8/12/2016,1343.2
8/15/2016,1347.5
8/16/2016,1356.9
8/17/2016,1348.8
8/18/2016,1357.2
8/19/2016,1346.2
8/22/2016,1343.4
8/23/2016,1346.1
8/24/2016,1329.7
8/25/2016,1324.6
8/26/2016,1325.9
8/29/2016,1327.1
8/30/2016,1316.5
8/31/2016,1311.4
9/1/2016,1317.1
9/2/2016,1326.7
9/5/2016,1330.7
9/6/2016,1354
9/7/2016,1349.2
9/8/2016,1341.6
9/9/2016,1334.5
9/12/2016,1325.6
9/13/2016,1323.7
9/14/2016,1326.1
9/15/2016,1318
9/16/2016,1310.2
9/19/2016,1317.8
9/20/2016,1318.2
9/21/2016,1331.4
9/22/2016,1344.7
9/23/2016,1341.7
9/26/2016,1344.1
9/27/2016,1330.4
9/28/2016,1323.7
9/29/2016,1326
9/30/2016,1317.1
10/3/2016,1312.7
10/4/2016,1269.7
10/5/2016,1268.6
10/6/2016,1253
10/7/2016,1251.9
10/10/2016,1260.4
10/11/2016,1255.9
10/12/2016,1253.8
10/13/2016,1257.6
10/14/2016,1255.5
10/17/2016,1256.6
10/18/2016,1262.9
10/19/2016,1269.9
10/20/2016,1267.5
10/21/2016,1267.7
10/24/2016,1263.7
10/25/2016,1273.6
10/26/2016,1266.6
10/27/2016,1269.5
10/28/2016,1276.8
10/31/2016,1273.1
11/1/2016,1288
11/2/2016,1308.2
11/3/2016,1303.3
11/4/2016,1304.5
11/7/2016,1279.4
11/8/2016,1274.5
11/9/2016,1273.5
11/10/2016,1266.4
11/11/2016,1224.3
11/14/2016,1221.7
11/15/2016,1224.5
11/16/2016,1223.9
11/17/2016,1216.9
11/18/2016,1208.7
11/21/2016,1209.8
11/22/2016,1214.1
11/23/2016,1192.4
11/24/2016,1183.6
11/25/2016,1181
11/28/2016,1193.8
11/29/2016,1190.8
11/30/2016,1173.9
12/1/2016,1169.4
12/2/2016,1177.8
12/5/2016,1176.5
12/6/2016,1170.1
12/7/2016,1177.5
12/8/2016,1172.4
12/9/2016,1161.9
12/12/2016,1165.8
12/13/2016,1159
12/14/2016,1163.7
12/15/2016,1129.8
12/16/2016,1137.4
12/19/2016,1142.7
12/20/2016,1133.6
12/21/2016,1133.2
12/22/2016,1130.7
12/23/2016,1133.6
12/27/2016,1138.8
12/28/2016,1140.9
12/29/2016,1158.1
12/30/2016,1151.7
1/3/2017,1162
1/4/2017,1165.3
1/5/2017,1181.3
1/6/2017,1173.4
1/9/2017,1184.9
1/10/2017,1185.5
1/11/2017,1196.6
1/12/2017,1199.8
1/13/2017,1196.2
1/16/2017,1202.6
1/17/2017,1212.9
1/18/2017,1212.1
1/19/2017,1201.5
1/20/2017,1204.9
1/23/2017,1218.5
1/24/2017,1213.6
1/25/2017,1200.5
1/26/2017,1192.5
1/27/2017,1191.1
1/30/2017,1196
1/31/2017,1211.4
2/1/2017,1208.3
2/2/2017,1219.4
2/3/2017,1220.8
2/6/2017,1232.1
2/7/2017,1236.1
2/8/2017,1239.5
2/9/2017,1236.8
2/10/2017,1235.9
2/13/2017,1225.8
2/14/2017,1225.4
2/15/2017,1233.1
2/16/2017,1241.6
2/17/2017,1239.1
2/20/2017,1238.5
2/21/2017,1238.9
2/22/2017,1233.3
2/23/2017,1251.4
2/24/2017,1258.3
2/27/2017,1258.8
2/28/2017,1253.9
3/1/2017,1250
3/2/2017,1232.9
3/3/2017,1226.5
3/6/2017,1225.5
3/7/2017,1216.1
3/8/2017,1209.4
3/9/2017,1203.2
3/10/2017,1201.4
3/13/2017,1203.1
3/14/2017,1202.6
3/15/2017,1200.7
3/16/2017,1227.1
3/17/2017,1230.2
3/20/2017,1234
3/21/2017,1249.6
3/22/2017,1252.8
3/23/2017,1250.1
3/24/2017,1251.7
3/27/2017,1258.8
3/28/2017,1258.8
3/29/2017,1256.8
3/30/2017,1248
3/31/2017,1251.2
4/3/2017,1254
4/4/2017,1258.4
4/5/2017,1248.5
4/6/2017,1253.3
4/7/2017,1257.3
4/10/2017,1253.9
4/11/2017,1274.2
4/12/2017,1278.1
4/13/2017,1288.5
4/17/2017,1291.9
4/18/2017,1294.1
4/19/2017,1283.4
4/20/2017,1283.8
4/21/2017,1289.1
4/24/2017,1277.5
4/25/2017,1267.2
4/26/2017,1264.2
4/27/2017,1265.9
4/28/2017,1268.3
5/1/2017,1255.5
5/2/2017,1257
5/3/2017,1248.5
5/4/2017,1228.6
5/5/2017,1226.9
5/8/2017,1227.1
5/9/2017,1216.1
5/10/2017,1218.9
5/11/2017,1224.2
5/12/2017,1227.7
5/15/2017,1230
5/16/2017,1236.4
5/17/2017,1258.7
5/18/2017,1252.8
5/19/2017,1253.6
5/22/2017,1261.4
5/23/2017,1258.9
5/24/2017,1256.5
5/25/2017,1259.8
5/26/2017,1271.4
5/29/2017,1269.9
5/30/2017,1265.7
5/31/2017,1275.4
6/1/2017,1270.1
6/2/2017,1280.2
6/5/2017,1282.7
6/6/2017,1297.5
6/7/2017,1293.2
6/8/2017,1279.5
6/9/2017,1271.4
6/12/2017,1268.9
6/13/2017,1268.6
6/14/2017,1275.9
6/15/2017,1254.6
6/16/2017,1256.5
6/19/2017,1246.7
6/20/2017,1243.5
6/21/2017,1245.8
6/22/2017,1249.4
6/23/2017,1256.4
6/26/2017,1246.4
6/27/2017,1246.9
6/28/2017,1249.1
6/29/2017,1245.8
6/30/2017,1242.3
7/3/2017,1219.2
7/4/2017,1223
7/5/2017,1221.7
7/6/2017,1223.3
7/7/2017,1209.7
7/10/2017,1213.2
7/11/2017,1214.7
7/12/2017,1219.1
7/13/2017,1217.3
7/14/2017,1227.5
7/17/2017,1233.7
7/18/2017,1241.9
7/19/2017,1248.8
7/20/2017,1252.1
7/21/2017,1261
7/24/2017,1260.7
7/25/2017,1258.5
7/26/2017,1255.6
7/27/2017,1266.5
7/28/2017,1275.3
7/31/2017,1273.4
8/1/2017,1279.4
8/2/2017,1278.4
8/3/2017,1274.4
8/4/2017,1264.6
8/7/2017,1264.7
8/8/2017,1262.6
8/9/2017,1279.3
8/10/2017,1290.1
8/11/2017,1294
8/14/2017,1290.4
8/15/2017,1279.7
8/16/2017,1282.9
8/17/2017,1292.4
8/18/2017,1291.6
8/21/2017,1296.7
8/22/2017,1291
8/23/2017,1294.7
8/24/2017,1292
8/25/2017,1297.9
8/28/2017,1315.3
8/29/2017,1318.9
8/30/2017,1314.1
8/31/2017,1322.2
9/1/2017,1330.4
9/4/2017,1339.4
9/5/2017,1344.5
9/6/2017,1339
9/7/2017,1350.3
9/8/2017,1351.2
9/11/2017,1335.7
9/12/2017,1332.7
9/13/2017,1328
9/14/2017,1329.3
9/15/2017,1325.2
9/18/2017,1310.8
9/19/2017,1310.6
9/20/2017,1316.4
9/21/2017,1294.8
9/22/2017,1297.5
9/25/2017,1311.5
