Date,Value
2/26/1971,101.34
3/31/1971,105.97
4/30/1971,112.3
5/28/1971,108.25
6/30/1971,107.8
7/30/1971,105.27
8/31/1971,108.42
9/30/1971,109.03
10/29/1971,105.1
11/30/1971,103.97
12/31/1971,114.12
1/31/1972,118.87
2/29/1972,125.38
3/30/1972,128.14
4/28/1972,131.33
5/31/1972,132.53
6/30/1972,130.08
7/31/1972,127.75
8/31/1972,129.95
9/29/1972,129.61
10/31/1972,130.24
11/30/1972,132.96
12/29/1972,133.73
1/31/1973,128.4
2/28/1973,120.41
3/30/1973,117.46
4/30/1973,107.85
5/31/1973,102.64
6/29/1973,100.98
7/31/1973,108.64
8/31/1973,104.87
9/28/1973,111.2
10/31/1973,110.17
11/30/1973,93.51
12/31/1973,92.19
1/31/1974,94.93
2/28/1974,94.35
3/29/1974,92.27
4/30/1974,86.86
5/31/1974,80.2
6/28/1974,75.96
7/31/1974,69.99
8/30/1974,62.37
9/30/1974,55.67
10/31/1974,65.23
11/29/1974,62.95
12/31/1974,59.82
1/31/1975,69.78
2/28/1975,73
3/31/1975,75.66
4/30/1975,78.54
5/30/1975,83.1
6/30/1975,87.02
7/31/1975,83.19
8/29/1975,79.01
9/30/1975,74.33
10/31/1975,76.99
11/28/1975,78.8
12/31/1975,77.62
1/30/1976,87.05
2/27/1976,90.26
3/31/1976,90.62
4/30/1976,90.08
5/28/1976,88.04
6/30/1976,90.32
7/30/1976,91.29
8/31/1976,89.7
9/30/1976,91.26
10/29/1976,90.35
11/30/1976,91.12
12/31/1976,97.88
1/31/1977,95.54
2/28/1977,94.57
3/31/1977,94.13
4/29/1977,95.48
5/31/1977,95.59
6/30/1977,99.73
7/29/1977,100.65
8/31/1977,100.1
9/30/1977,100.85
10/31/1977,97.52
11/30/1977,103.15
12/30/1977,105.05
1/31/1978,100.84
2/28/1978,101.47
3/31/1978,106.2
4/28/1978,115.18
5/31/1978,120.24
6/30/1978,120.3
7/31/1978,126.32
8/31/1978,135.01
9/29/1978,132.89
10/31/1978,111.12
11/30/1978,114.69
12/29/1978,117.98
1/31/1979,125.82
2/28/1979,122.56
3/30/1979,131.76
4/30/1979,133.82
5/31/1979,131.42
6/29/1979,138.13
7/31/1979,141.33
8/31/1979,150.44
9/28/1979,149.98
10/31/1979,135.53
11/30/1979,144.26
12/31/1979,151.14
1/31/1980,161.75
2/29/1980,158.03
3/31/1980,131
4/30/1980,139.99
5/30/1980,150.45
6/30/1980,157.78
7/31/1980,171.81
8/29/1980,181.52
9/30/1980,187.76
10/31/1980,192.78
11/28/1980,208.15
12/31/1980,202.34
1/30/1981,197.81
2/27/1981,198.01
3/31/1981,210.18
4/30/1981,216.74
5/29/1981,223.47
6/30/1981,215.75
7/31/1981,211.63
8/31/1981,195.75
9/30/1981,180.03
10/30/1981,195.24
11/30/1981,201.37
12/31/1981,195.84
1/29/1982,188.39
2/26/1982,179.43
3/31/1982,175.65
4/30/1982,184.7
5/28/1982,178.54
6/30/1982,171.3
7/30/1982,167.35
8/31/1982,177.71
9/30/1982,187.65
10/29/1982,212.63
11/30/1982,232.31
12/31/1982,232.41
1/31/1983,248.35
2/28/1983,260.67
3/31/1983,270.8
4/29/1983,293.06
5/31/1983,308.73
6/30/1983,318.7
7/29/1983,303.96
8/31/1983,292.42
9/30/1983,296.65
10/31/1983,274.55
11/30/1983,285.67
12/30/1983,278.6
1/31/1984,268.43
2/29/1984,252.57
3/30/1984,250.78
4/30/1984,247.44
5/31/1984,232.82
6/29/1984,239.65
7/31/1984,229.7
8/31/1984,254.64
9/28/1984,249.94
10/31/1984,247
11/30/1984,242.4
12/31/1984,247.1
1/31/1985,278.7
2/28/1985,284.2
3/29/1985,279.2
4/30/1985,280.6
5/31/1985,290.8
6/28/1985,296.2
7/31/1985,301.3
8/30/1985,297.7
9/30/1985,280.3
10/31/1985,292.5
11/29/1985,314
12/31/1985,324.9
1/31/1986,335.8
2/28/1986,359.5
3/31/1986,374.7
4/30/1986,383.2
5/30/1986,400.2
6/30/1986,405.5
7/31/1986,371.4
8/29/1986,382.9
9/30/1986,350.7
10/31/1986,360.8
11/28/1986,359.6
12/31/1986,348.8
1/30/1987,392.1
2/27/1987,425
3/31/1987,430.1
4/30/1987,417.8
5/29/1987,416.5
6/30/1987,424.7
7/31/1987,434.9
8/31/1987,455
9/30/1987,444.3
10/30/1987,323.3
11/30/1987,305.2
12/31/1987,330.5
1/29/1988,344.7
2/29/1988,367
3/31/1988,374.6
4/29/1988,379.2
5/31/1988,370.3
6/30/1988,394.7
7/29/1988,387.3
8/31/1988,376.6
9/30/1988,387.7
10/31/1988,382.5
11/30/1988,371.5
12/30/1988,381.4
1/31/1989,401.3
2/28/1989,399.7
3/31/1989,406.7
4/28/1989,427.6
5/31/1989,446.2
6/30/1989,435.3
7/31/1989,453.8
8/31/1989,469.3
9/29/1989,472.9
10/31/1989,455.6
11/30/1989,456.1
12/29/1989,454.8
1/31/1990,415.8
2/28/1990,425.8
3/30/1990,435.5
4/30/1990,420.1
5/31/1990,459
6/29/1990,462.3
7/31/1990,438.2
8/31/1990,381.2
9/28/1990,344.5
10/31/1990,329.8
11/30/1990,359.1
12/31/1990,373.8
1/31/1991,414.2
2/28/1991,453.1
3/28/1991,482.3
4/30/1991,484.72
5/31/1991,506.11
6/28/1991,475.92
7/31/1991,502.04
8/30/1991,525.68
9/30/1991,526.88
10/31/1991,542.98
11/29/1991,523.9
12/31/1991,586.34
1/31/1992,620.21
2/28/1992,633.47
3/31/1992,603.77
4/30/1992,578.68
5/29/1992,585.31
6/30/1992,563.6
7/31/1992,580.83
8/31/1992,563.12
9/30/1992,583.27
10/30/1992,605.17
11/30/1992,652.73
12/31/1992,676.95
1/29/1993,696.34
2/26/1993,670.77
3/31/1993,690.13
4/30/1993,661.42
5/28/1993,700.53
6/30/1993,703.95
7/30/1993,704.7
8/31/1993,742.84
9/30/1993,762.78
10/29/1993,779.26
11/30/1993,754.39
12/31/1993,776.8
1/31/1994,800.47
2/28/1994,792.5
3/31/1994,743.46
4/29/1994,733.84
5/31/1994,735.19
6/30/1994,705.96
7/29/1994,722.16
8/31/1994,765.62
9/30/1994,764.29
10/31/1994,777.49
11/30/1994,750.32
12/30/1994,751.96
1/31/1995,755.2
2/28/1995,793.73
3/31/1995,817.21
4/28/1995,843.98
5/31/1995,864.58
6/30/1995,933.45
7/31/1995,1001.21
8/31/1995,1020.11
9/29/1995,1043.54
10/31/1995,1036.06
11/30/1995,1059.2
12/29/1995,1052.13
1/31/1996,1059.79
2/29/1996,1100.05
3/29/1996,1101.4
4/30/1996,1190.52
5/31/1996,1243.43
6/28/1996,1185.02
7/31/1996,1080.59
8/30/1996,1141.5
9/30/1996,1226.92
10/31/1996,1221.51
11/29/1996,1292.61
12/31/1996,1291.03
1/31/1997,1379.85
2/28/1997,1309
3/31/1997,1221.7
4/30/1997,1260.76
5/30/1997,1400.32
6/30/1997,1442.07
7/31/1997,1593.81
8/29/1997,1587.32
9/30/1997,1685.69
10/31/1997,1593.61
11/28/1997,1600.55
12/31/1997,1570.35
1/30/1998,1619.36
2/27/1998,1770.51
3/31/1998,1835.68
4/30/1998,1868.41
5/29/1998,1778.87
6/30/1998,1894.74
7/31/1998,1872.39
8/31/1998,1499.25
9/30/1998,1693.84
10/30/1998,1771.39
11/30/1998,1949.54
12/31/1998,2192.69
1/29/1999,2505.89
2/26/1999,2288.03
3/31/1999,2461.4
4/30/1999,2542.86
5/28/1999,2470.52
6/30/1999,2686.12
7/30/1999,2638.49
8/31/1999,2739.35
9/30/1999,2746.16
10/29/1999,2966.43
11/30/1999,3336.16
12/31/1999,4069.31
1/31/2000,3940.35
2/29/2000,4696.69
3/31/2000,4572.83
4/28/2000,3860.66
5/31/2000,3400.91
6/30/2000,3966.11
7/31/2000,3766.99
8/31/2000,4206.35
9/29/2000,3672.82
10/31/2000,3369.63
11/30/2000,2597.93
12/29/2000,2470.52
1/31/2001,2772.73
2/28/2001,2151.83
3/30/2001,1840.26
4/30/2001,2116.24
5/31/2001,2110.49
6/29/2001,2160.54
7/31/2001,2027.13
8/31/2001,1805.43
9/28/2001,1498.8
10/31/2001,1690.2
11/30/2001,1930.58
12/31/2001,1950.4
1/31/2002,1934.03
2/28/2002,1731.49
3/28/2002,1845.35
4/30/2002,1688.23
5/31/2002,1615.73
6/28/2002,1463.21
7/31/2002,1328.26
8/30/2002,1314.85
9/30/2002,1172.06
10/31/2002,1329.75
11/29/2002,1478.78
12/31/2002,1335.51
1/31/2003,1320.91
2/28/2003,1337.52
3/31/2003,1341.17
4/30/2003,1464.31
5/30/2003,1595.91
6/30/2003,1622.8
7/31/2003,1735.02
8/29/2003,1810.45
9/30/2003,1786.94
10/31/2003,1932.21
11/28/2003,1960.26
12/31/2003,2003.37
1/30/2004,2066.15
2/27/2004,2029.82
3/31/2004,1994.22
4/30/2004,1920.15
5/28/2004,1986.74
6/30/2004,2047.79
7/30/2004,1887.36
8/31/2004,1838.1
9/30/2004,1896.84
10/29/2004,1974.99
11/30/2004,2096.81
12/31/2004,2175.44
1/31/2005,2062.41
2/28/2005,2051.72
3/31/2005,1999.23
4/29/2005,1921.65
5/31/2005,2068.22
6/30/2005,2056.96
7/29/2005,2184.83
8/31/2005,2152.09
9/30/2005,2151.69
10/31/2005,2120.3
11/30/2005,2232.82
12/30/2005,2205.32
1/31/2006,2305.82
2/28/2006,2281.39
3/31/2006,2339.79
4/28/2006,2322.57
