country,date,headline_inflation_yy,core_inflation_yy
egypt,01/12/2025,12.300%,11.800%
egypt,01/11/2025,12.300%,12.500%
egypt,01/10/2025,12.500%,12.100%
egypt,01/09/2025,11.700%,11.300%
egypt,01/08/2025,12.000%,10.700%
egypt,01/07/2025,13.900%,11.600%
egypt,01/06/2025,14.900%,11.400%
egypt,01/05/2025,16.800%,13.100%
egypt,01/04/2025,13.900%,10.400%
egypt,01/03/2025,13.620%,9.410%
egypt,01/02/2025,12.840%,10.010%
egypt,01/01/2025,23.950%,22.590%
egypt,01/12/2024,24.060%,23.220%
egypt,01/11/2024,25.540%,23.710%
egypt,01/10/2024,26.531%,24.404%
egypt,01/09/2024,26.397%,24.966%
egypt,01/08/2024,26.249%,25.126%
egypt,01/07/2024,25.673%,24.381%
egypt,01/06/2024,27.513%,26.642%
egypt,01/05/2024,28.150%,27.130%
egypt,01/04/2024,32.540%,31.810%
egypt,01/03/2024,33.340%,33.660%
egypt,01/02/2024,35.710%,35.120%
egypt,01/01/2024,29.800%,29.010%
egypt,01/12/2023,33.700%,34.180%
egypt,01/11/2023,34.550%,35.860%
egypt,01/10/2023,35.800%,38.100%
egypt,01/09/2023,38.000%,39.700%
egypt,01/08/2023,37.415%,40.380%
egypt,01/07/2023,36.460%,40.730%
egypt,01/06/2023,35.710%,41.000%
egypt,01/05/2023,32.750%,40.310%
egypt,01/04/2023,30.596%,38.575%
egypt,01/03/2023,32.665%,39.509%
egypt,01/02/2023,31.932%,40.262%
egypt,01/01/2023,25.834%,31.241%
egypt,01/12/2022,21.269%,24.449%
egypt,01/11/2022,18.724%,21.528%
egypt,01/10/2022,16.243%,19.021%
egypt,01/09/2022,15.021%,17.996%
egypt,01/08/2022,14.560%,16.657%
egypt,01/07/2022,13.640%,15.637%
egypt,01/06/2022,13.155%,14.571%
egypt,01/05/2022,13.529%,13.343%
egypt,01/04/2022,13.111%,11.943%
egypt,01/03/2022,10.491%,10.055%
egypt,01/02/2022,8.819%,7.234%
egypt,01/01/2022,7.259%,6.269%
egypt,01/12/2021,5.899%,5.968%
egypt,01/11/2021,5.556%,5.79%
egypt,01/10/2021,6.267%,5.221%
egypt,01/09/2021,6.579%,4.848%
egypt,01/08/2021,5.682%,4.526%
egypt,01/07/2021,5.446%,4.567%
egypt,01/06/2021,4.93%,3.849%
egypt,01/05/2021,4.829%,3.413%
egypt,01/04/2021,4.101%,3.331%
egypt,01/03/2021,4.476%,3.672%
egypt,01/02/2021,4.455%,3.645%
egypt,01/01/2021,4.285%,3.637%
egypt,01/12/2020,5.428%,3.803%
egypt,01/11/2020,5.696%,4.021%
egypt,01/10/2020,4.52%,3.889%
egypt,01/09/2020,3.694%,3.264%
egypt,01/08/2020,3.366%,0.836%
egypt,01/07/2020,4.203%,0.722%
egypt,01/06/2020,5.631%,0.954%
egypt,01/05/2020,4.696%,1.542%
egypt,01/04/2020,5.881%,2.541%
egypt,01/03/2020,5.092%,1.887%
egypt,01/02/2020,5.319%,1.916%
egypt,01/01/2020,7.168%,2.663%
egypt,01/12/2019,7.1%,2.374%
egypt,01/11/2019,3.628%,2.114%
egypt,01/10/2019,3.146%,2.723%
egypt,01/09/2019,4.774%,2.603%
egypt,01/08/2019,7.455%,4.907%
egypt,01/07/2019,8.659%,5.903%
egypt,01/06/2019,9.377%,6.398%
egypt,01/05/2019,14.088%,7.83%
egypt,01/04/2019,13.015%,8.109%
egypt,01/03/2019,14.162%,8.929%
egypt,01/02/2019,14.35%,9.201%
egypt,01/01/2019,12.714%,8.566%
egypt,01/12/2018,11.971%,8.304%
egypt,01/11/2018,15.655%,7.944%
egypt,01/10/2018,17.675%,8.857%
egypt,01/09/2018,15.97%,8.554%
egypt,01/08/2018,14.24%,8.832%
egypt,01/07/2018,13.509%,8.541%
egypt,01/06/2018,14.384%,10.895%
egypt,01/05/2018,11.447%,11.086%
egypt,01/04/2018,13.124%,11.616%
egypt,01/03/2018,13.319%,11.587%
egypt,01/02/2018,14.397%,11.882%
egypt,01/01/2018,17.068%,14.351%
egypt,01/12/2017,21.901%,19.864%
egypt,01/11/2017,25.978%,25.543%
egypt,01/10/2017,30.821%,30.527%
egypt,01/09/2017,31.592%,33.26%
egypt,01/08/2017,31.916%,34.86%
egypt,01/07/2017,32.952%,35.258%
egypt,01/06/2017,29.763%,31.947%
egypt,01/05/2017,29.71%,30.571%
egypt,01/04/2017,31.464%,32.062%
egypt,01/03/2017,30.912%,32.25%
egypt,01/02/2017,30.249%,33.1%
egypt,01/01/2017,28.138%,30.859%
egypt,01/12/2016,23.269%,25.858%
egypt,01/11/2016,19.427%,20.731%
egypt,01/10/2016,13.563%,15.716%
egypt,01/09/2016,14.088%,13.935%
egypt,01/08/2016,15.469%,13.252%
egypt,01/07/2016,13.999%,12.308%
egypt,01/06/2016,13.969%,12.371%
egypt,01/05/2016,12.3%,12.232%
egypt,01/04/2016,10.274%,9.512%
egypt,01/03/2016,9.015%,8.415%
egypt,01/02/2016,9.131%,7.496%
egypt,01/01/2016,10.098%,7.728%
