id,region,ticker,date,value
1,china,cpi,01/01/2016,101.1
2,china,cpi,02/01/2016,101.1
3,china,cpi,03/01/2016,101.1
4,china,cpi,04/01/2016,101.1
5,china,cpi,05/01/2016,101.1
6,china,cpi,06/01/2016,101.1
7,china,cpi,07/01/2016,101.1
8,china,cpi,08/01/2016,101.1
9,china,cpi,09/01/2016,101.1
10,china,cpi,10/01/2016,101.1
11,china,cpi,11/01/2016,101.1
12,china,cpi,12/01/2016,101.1
13,china,cpi,13/01/2016,101.1
14,china,cpi,14/01/2016,101.1
15,china,cpi,15/01/2016,101.1
16,china,cpi,16/01/2016,101.1
17,china,cpi,17/01/2016,101.1
18,china,cpi,18/01/2016,101.1
19,china,cpi,19/01/2016,101.1
20,china,cpi,20/01/2016,101.1
21,china,cpi,21/01/2016,101.1
22,china,cpi,22/01/2016,101.1
23,china,cpi,23/01/2016,101.1
24,china,cpi,24/01/2016,101.1
25,china,cpi,25/01/2016,101.1
26,china,cpi,26/01/2016,101.1
27,china,cpi,27/01/2016,101.1
28,china,cpi,28/01/2016,101.1
29,china,cpi,29/01/2016,101.1
30,china,cpi,30/01/2016,101.1
31,china,cpi,31/01/2016,101.1
32,china,cpi,01/02/2016,102.7
33,china,cpi,02/02/2016,102.7
34,china,cpi,03/02/2016,102.7
35,china,cpi,04/02/2016,102.7
36,china,cpi,05/02/2016,102.7
37,china,cpi,06/02/2016,102.7
38,china,cpi,07/02/2016,102.7
39,china,cpi,08/02/2016,102.7
40,china,cpi,09/02/2016,102.7
41,china,cpi,10/02/2016,102.7
42,china,cpi,11/02/2016,102.7
43,china,cpi,12/02/2016,102.7
44,china,cpi,13/02/2016,102.7
45,china,cpi,14/02/2016,102.7
46,china,cpi,15/02/2016,102.7
47,china,cpi,16/02/2016,102.7
48,china,cpi,17/02/2016,102.7
49,china,cpi,18/02/2016,102.7
50,china,cpi,19/02/2016,102.7
51,china,cpi,20/02/2016,102.7
52,china,cpi,21/02/2016,102.7
53,china,cpi,22/02/2016,102.7
54,china,cpi,23/02/2016,102.7
55,china,cpi,24/02/2016,102.7
56,china,cpi,25/02/2016,102.7
57,china,cpi,26/02/2016,102.7
58,china,cpi,27/02/2016,102.7
59,china,cpi,28/02/2016,102.7
60,china,cpi,29/02/2016,102.7
61,china,cpi,01/03/2016,102.2
62,china,cpi,02/03/2016,102.2
63,china,cpi,03/03/2016,102.2
64,china,cpi,04/03/2016,102.2
65,china,cpi,05/03/2016,102.2
66,china,cpi,06/03/2016,102.2
67,china,cpi,07/03/2016,102.2
68,china,cpi,08/03/2016,102.2
69,china,cpi,09/03/2016,102.2
70,china,cpi,10/03/2016,102.2
71,china,cpi,11/03/2016,102.2
72,china,cpi,12/03/2016,102.2
73,china,cpi,13/03/2016,102.2
74,china,cpi,14/03/2016,102.2
75,china,cpi,15/03/2016,102.2
76,china,cpi,16/03/2016,102.2
77,china,cpi,17/03/2016,102.2
78,china,cpi,18/03/2016,102.2
79,china,cpi,19/03/2016,102.2
80,china,cpi,20/03/2016,102.2
81,china,cpi,21/03/2016,102.2
82,china,cpi,22/03/2016,102.2
83,china,cpi,23/03/2016,102.2
84,china,cpi,24/03/2016,102.2
85,china,cpi,25/03/2016,102.2
86,china,cpi,26/03/2016,102.2
87,china,cpi,27/03/2016,102.2
88,china,cpi,28/03/2016,102.2
89,china,cpi,29/03/2016,102.2
90,china,cpi,30/03/2016,102.2
91,china,cpi,31/03/2016,102.2
92,china,cpi,01/04/2016,102.0
93,china,cpi,02/04/2016,102.0
94,china,cpi,03/04/2016,102.0
95,china,cpi,04/04/2016,102.0
96,china,cpi,05/04/2016,102.0
97,china,cpi,06/04/2016,102.0
98,china,cpi,07/04/2016,102.0
99,china,cpi,08/04/2016,102.0
100,china,cpi,09/04/2016,102.0
101,china,cpi,10/04/2016,102.0
102,china,cpi,11/04/2016,102.0
103,china,cpi,12/04/2016,102.0
104,china,cpi,13/04/2016,102.0
105,china,cpi,14/04/2016,102.0
106,china,cpi,15/04/2016,102.0
107,china,cpi,16/04/2016,102.0
108,china,cpi,17/04/2016,102.0
109,china,cpi,18/04/2016,102.0
110,china,cpi,19/04/2016,102.0
111,china,cpi,20/04/2016,102.0
112,china,cpi,21/04/2016,102.0
113,china,cpi,22/04/2016,102.0
114,china,cpi,23/04/2016,102.0
115,china,cpi,24/04/2016,102.0
116,china,cpi,25/04/2016,102.0
117,china,cpi,26/04/2016,102.0
118,china,cpi,27/04/2016,102.0
119,china,cpi,28/04/2016,102.0
120,china,cpi,29/04/2016,102.0
121,china,cpi,30/04/2016,102.0
122,china,cpi,01/05/2016,101.6
123,china,cpi,02/05/2016,101.6
124,china,cpi,03/05/2016,101.6
125,china,cpi,04/05/2016,101.6
126,china,cpi,05/05/2016,101.6
127,china,cpi,06/05/2016,101.6
128,china,cpi,07/05/2016,101.6
129,china,cpi,08/05/2016,101.6
130,china,cpi,09/05/2016,101.6
131,china,cpi,10/05/2016,101.6
132,china,cpi,11/05/2016,101.6
133,china,cpi,12/05/2016,101.6
134,china,cpi,13/05/2016,101.6
135,china,cpi,14/05/2016,101.6
136,china,cpi,15/05/2016,101.6
137,china,cpi,16/05/2016,101.6
138,china,cpi,17/05/2016,101.6
139,china,cpi,18/05/2016,101.6
140,china,cpi,19/05/2016,101.6
141,china,cpi,20/05/2016,101.6
142,china,cpi,21/05/2016,101.6
143,china,cpi,22/05/2016,101.6
144,china,cpi,23/05/2016,101.6
145,china,cpi,24/05/2016,101.6
146,china,cpi,25/05/2016,101.6
147,china,cpi,26/05/2016,101.6
