id,region,ticker,date,value_usd
1,china,gdp,2016-01-01,16241000000000.0
2,china,gdp,2016-01-02,16241000000000.0
3,china,gdp,2016-01-03,16241000000000.0
4,china,gdp,2016-01-04,16241000000000.0
5,china,gdp,2016-01-05,16241000000000.0
6,china,gdp,2016-01-06,16241000000000.0
7,china,gdp,2016-01-07,16241000000000.0
8,china,gdp,2016-01-08,16241000000000.0
9,china,gdp,2016-01-09,16241000000000.0
10,china,gdp,2016-01-10,16241000000000.0
11,china,gdp,2016-01-11,16241000000000.0
12,china,gdp,2016-01-12,16241000000000.0
13,china,gdp,2016-01-13,16241000000000.0
14,china,gdp,2016-01-14,16241000000000.0
15,china,gdp,2016-01-15,16241000000000.0
16,china,gdp,2016-01-16,16241000000000.0
17,china,gdp,2016-01-17,16241000000000.0
18,china,gdp,2016-01-18,16241000000000.0
19,china,gdp,2016-01-19,16241000000000.0
20,china,gdp,2016-01-20,16241000000000.0
21,china,gdp,2016-01-21,16241000000000.0
22,china,gdp,2016-01-22,16241000000000.0
23,china,gdp,2016-01-23,16241000000000.0
24,china,gdp,2016-01-24,16241000000000.0
25,china,gdp,2016-01-25,16241000000000.0
26,china,gdp,2016-01-26,16241000000000.0
27,china,gdp,2016-01-27,16241000000000.0
28,china,gdp,2016-01-28,16241000000000.0
29,china,gdp,2016-01-29,16241000000000.0
30,china,gdp,2016-01-30,16241000000000.0
31,china,gdp,2016-01-31,16241000000000.0
32,china,gdp,2016-02-01,16241000000000.0
33,china,gdp,2016-02-02,16241000000000.0
34,china,gdp,2016-02-03,16241000000000.0
35,china,gdp,2016-02-04,16241000000000.0
36,china,gdp,2016-02-05,16241000000000.0
37,china,gdp,2016-02-06,16241000000000.0
38,china,gdp,2016-02-07,16241000000000.0
39,china,gdp,2016-02-08,16241000000000.0
40,china,gdp,2016-02-09,16241000000000.0
41,china,gdp,2016-02-10,16241000000000.0
42,china,gdp,2016-02-11,16241000000000.0
43,china,gdp,2016-02-12,16241000000000.0
44,china,gdp,2016-02-13,16241000000000.0
45,china,gdp,2016-02-14,16241000000000.0
46,china,gdp,2016-02-15,16241000000000.0
47,china,gdp,2016-02-16,16241000000000.0
48,china,gdp,2016-02-17,16241000000000.0
49,china,gdp,2016-02-18,16241000000000.0
50,china,gdp,2016-02-19,16241000000000.0
51,china,gdp,2016-02-20,16241000000000.0
52,china,gdp,2016-02-21,16241000000000.0
53,china,gdp,2016-02-22,16241000000000.0
54,china,gdp,2016-02-23,16241000000000.0
55,china,gdp,2016-02-24,16241000000000.0
56,china,gdp,2016-02-25,16241000000000.0
57,china,gdp,2016-02-26,16241000000000.0
58,china,gdp,2016-02-27,16241000000000.0
59,china,gdp,2016-02-28,16241000000000.0
60,china,gdp,2016-02-29,16241000000000.0
61,china,gdp,2016-03-01,16241000000000.0
62,china,gdp,2016-03-02,16241000000000.0
63,china,gdp,2016-03-03,16241000000000.0
64,china,gdp,2016-03-04,16241000000000.0
65,china,gdp,2016-03-05,16241000000000.0
66,china,gdp,2016-03-06,16241000000000.0
67,china,gdp,2016-03-07,16241000000000.0
68,china,gdp,2016-03-08,16241000000000.0
69,china,gdp,2016-03-09,16241000000000.0
70,china,gdp,2016-03-10,16241000000000.0
71,china,gdp,2016-03-11,16241000000000.0
72,china,gdp,2016-03-12,16241000000000.0
73,china,gdp,2016-03-13,16241000000000.0
74,china,gdp,2016-03-14,16241000000000.0
75,china,gdp,2016-03-15,16241000000000.0
76,china,gdp,2016-03-16,16241000000000.0
77,china,gdp,2016-03-17,16241000000000.0
78,china,gdp,2016-03-18,16241000000000.0
79,china,gdp,2016-03-19,16241000000000.0
80,china,gdp,2016-03-20,16241000000000.0
81,china,gdp,2016-03-21,16241000000000.0
82,china,gdp,2016-03-22,16241000000000.0
83,china,gdp,2016-03-23,16241000000000.0
84,china,gdp,2016-03-24,16241000000000.0
85,china,gdp,2016-03-25,16241000000000.0
86,china,gdp,2016-03-26,16241000000000.0
87,china,gdp,2016-03-27,16241000000000.0
88,china,gdp,2016-03-28,16241000000000.0
89,china,gdp,2016-03-29,16241000000000.0
90,china,gdp,2016-03-30,16241000000000.0
91,china,gdp,2016-03-31,16241000000000.0
92,china,gdp,2016-04-01,18140820000000.0
93,china,gdp,2016-04-02,18140820000000.0
94,china,gdp,2016-04-03,18140820000000.0
95,china,gdp,2016-04-04,18140820000000.0
96,china,gdp,2016-04-05,18140820000000.0
97,china,gdp,2016-04-06,18140820000000.0
98,china,gdp,2016-04-07,18140820000000.0
99,china,gdp,2016-04-08,18140820000000.0
100,china,gdp,2016-04-09,18140820000000.0
101,china,gdp,2016-04-10,18140820000000.0
102,china,gdp,2016-04-11,18140820000000.0
103,china,gdp,2016-04-12,18140820000000.0
104,china,gdp,2016-04-13,18140820000000.0
105,china,gdp,2016-04-14,18140820000000.0
106,china,gdp,2016-04-15,18140820000000.0
107,china,gdp,2016-04-16,18140820000000.0
108,china,gdp,2016-04-17,18140820000000.0
109,china,gdp,2016-04-18,18140820000000.0
110,china,gdp,2016-04-19,18140820000000.0
111,china,gdp,2016-04-20,18140820000000.0
112,china,gdp,2016-04-21,18140820000000.0
113,china,gdp,2016-04-22,18140820000000.0
114,china,gdp,2016-04-23,18140820000000.0
115,china,gdp,2016-04-24,18140820000000.0
116,china,gdp,2016-04-25,18140820000000.0
117,china,gdp,2016-04-26,18140820000000.0
118,china,gdp,2016-04-27,18140820000000.0
119,china,gdp,2016-04-28,18140820000000.0
120,china,gdp,2016-04-29,18140820000000.0
121,china,gdp,2016-04-30,18140820000000.0
122,china,gdp,2016-05-01,18140820000000.0
123,china,gdp,2016-05-02,18140820000000.0
124,china,gdp,2016-05-03,18140820000000.0
125,china,gdp,2016-05-04,18140820000000.0
126,china,gdp,2016-05-05,18140820000000.0
127,china,gdp,2016-05-06,18140820000000.0
128,china,gdp,2016-05-07,18140820000000.0
129,china,gdp,2016-05-08,18140820000000.0
130,china,gdp,2016-05-09,18140820000000.0
131,china,gdp,2016-05-10,18140820000000.0
132,china,gdp,2016-05-11,18140820000000.0
133,china,gdp,2016-05-12,18140820000000.0
134,china,gdp,2016-05-13,18140820000000.0
135,china,gdp,2016-05-14,18140820000000.0
136,china,gdp,2016-05-15,18140820000000.0
137,china,gdp,2016-05-16,18140820000000.0
138,china,gdp,2016-05-17,18140820000000.0
139,china,gdp,2016-05-18,18140820000000.0
140,china,gdp,2016-05-19,18140820000000.0
141,china,gdp,2016-05-20,18140820000000.0
142,china,gdp,2016-05-21,18140820000000.0
143,china,gdp,2016-05-22,18140820000000.0
144,china,gdp,2016-05-23,18140820000000.0
145,china,gdp,2016-05-24,18140820000000.0
146,china,gdp,2016-05-25,18140820000000.0
147,china,gdp,2016-05-26,18140820000000.0
148,china,gdp,2016-05-27,18140820000000.0
149,china,gdp,2016-05-28,18140820000000.0
150,china,gdp,2016-05-29,18140820000000.0
151,china,gdp,2016-05-30,18140820000000.0
152,china,gdp,2016-05-31,18140820000000.0
153,china,gdp,2016-06-01,18140820000000.0
154,china,gdp,2016-06-02,18140820000000.0
155,china,gdp,2016-06-03,18140820000000.0
156,china,gdp,2016-06-04,18140820000000.0
157,china,gdp,2016-06-05,18140820000000.0
158,china,gdp,2016-06-06,18140820000000.0
159,china,gdp,2016-06-07,18140820000000.0
160,china,gdp,2016-06-08,18140820000000.0
161,china,gdp,2016-06-09,18140820000000.0
162,china,gdp,2016-06-10,18140820000000.0
163,china,gdp,2016-06-11,18140820000000.0
164,china,gdp,2016-06-12,18140820000000.0
165,china,gdp,2016-06-13,18140820000000.0
166,china,gdp,2016-06-14,18140820000000.0
167,china,gdp,2016-06-15,18140820000000.0
168,china,gdp,2016-06-16,18140820000000.0
169,china,gdp,2016-06-17,18140820000000.0
170,china,gdp,2016-06-18,18140820000000.0
171,china,gdp,2016-06-19,18140820000000.0
172,china,gdp,2016-06-20,18140820000000.0
173,china,gdp,2016-06-21,18140820000000.0
174,china,gdp,2016-06-22,18140820000000.0
175,china,gdp,2016-06-23,18140820000000.0
176,china,gdp,2016-06-24,18140820000000.0
177,china,gdp,2016-06-25,18140820000000.0
178,china,gdp,2016-06-26,18140820000000.0
179,china,gdp,2016-06-27,18140820000000.0
180,china,gdp,2016-06-28,18140820000000.0
181,china,gdp,2016-06-29,18140820000000.0
182,china,gdp,2016-06-30,18140820000000.0
183,china,gdp,2016-07-01,19101060000000.0
184,china,gdp,2016-07-02,19101060000000.0
185,china,gdp,2016-07-03,19101060000000.0
186,china,gdp,2016-07-04,19101060000000.0
187,china,gdp,2016-07-05,19101060000000.0
188,china,gdp,2016-07-06,19101060000000.0
189,china,gdp,2016-07-07,19101060000000.0
190,china,gdp,2016-07-08,19101060000000.0
191,china,gdp,2016-07-09,19101060000000.0
192,china,gdp,2016-07-10,19101060000000.0
193,china,gdp,2016-07-11,19101060000000.0
194,china,gdp,2016-07-12,19101060000000.0
195,china,gdp,2016-07-13,19101060000000.0
196,china,gdp,2016-07-14,19101060000000.0
197,china,gdp,2016-07-15,19101060000000.0
198,china,gdp,2016-07-16,19101060000000.0
199,china,gdp,2016-07-17,19101060000000.0
200,china,gdp,2016-07-18,19101060000000.0
201,china,gdp,2016-07-19,19101060000000.0
202,china,gdp,2016-07-20,19101060000000.0
203,china,gdp,2016-07-21,19101060000000.0
204,china,gdp,2016-07-22,19101060000000.0
205,china,gdp,2016-07-23,19101060000000.0
206,china,gdp,2016-07-24,19101060000000.0
207,china,gdp,2016-07-25,19101060000000.0
208,china,gdp,2016-07-26,19101060000000.0
209,china,gdp,2016-07-27,19101060000000.0
