id,date,region,headline_inflation_yy,core_inflation_yy
1,01/01/2016,egypt,10.098%,7.728%
2,01/02/2016,egypt,9.131%,7.496%
3,01/03/2016,egypt,9.015%,8.415%
4,01/04/2016,egypt,10.274%,9.512%
5,01/05/2016,egypt,12.3%,12.232%
6,01/06/2016,egypt,13.969%,12.371%
7,01/07/2016,egypt,13.999%,12.308%
8,01/08/2016,egypt,15.469%,13.252%
9,01/09/2016,egypt,14.088%,13.935%
10,01/10/2016,egypt,13.563%,15.716%
11,01/11/2016,egypt,19.427%,20.731%
12,01/12/2016,egypt,23.269%,25.858%
13,01/01/2017,egypt,28.138%,30.859%
14,01/02/2017,egypt,30.249%,33.1%
15,01/03/2017,egypt,30.912%,32.25%
16,01/04/2017,egypt,31.464%,32.062%
17,01/05/2017,egypt,29.71%,30.571%
18,01/06/2017,egypt,29.763%,31.947%
19,01/07/2017,egypt,32.952%,35.258%
20,01/08/2017,egypt,31.916%,34.86%
21,01/09/2017,egypt,31.592%,33.26%
22,01/10/2017,egypt,30.821%,30.527%
23,01/11/2017,egypt,25.978%,25.543%
24,01/12/2017,egypt,21.901%,19.864%
25,01/01/2018,egypt,17.068%,14.351%
26,01/02/2018,egypt,14.397%,11.882%
27,01/03/2018,egypt,13.319%,11.587%
28,01/04/2018,egypt,13.124%,11.616%
29,01/05/2018,egypt,11.447%,11.086%
30,01/06/2018,egypt,14.384%,10.895%
31,01/07/2018,egypt,13.509%,8.541%
32,01/08/2018,egypt,14.24%,8.832%
33,01/09/2018,egypt,15.97%,8.554%
34,01/10/2018,egypt,17.675%,8.857%
35,01/11/2018,egypt,15.655%,7.944%
36,01/12/2018,egypt,11.971%,8.304%
37,01/01/2019,egypt,12.714%,8.566%
38,01/02/2019,egypt,14.35%,9.201%
39,01/03/2019,egypt,14.162%,8.929%
40,01/04/2019,egypt,13.015%,8.109%
41,01/05/2019,egypt,14.088%,7.83%
42,01/06/2019,egypt,9.377%,6.398%
43,01/07/2019,egypt,8.659%,5.903%
44,01/08/2019,egypt,7.455%,4.907%
45,01/09/2019,egypt,4.774%,2.603%
46,01/10/2019,egypt,3.146%,2.723%
47,01/11/2019,egypt,3.628%,2.114%
48,01/12/2019,egypt,7.1%,2.374%
49,01/01/2020,egypt,7.168%,2.663%
50,01/02/2020,egypt,5.319%,1.916%
51,01/03/2020,egypt,5.092%,1.887%
52,01/04/2020,egypt,5.881%,2.541%
53,01/05/2020,egypt,4.696%,1.542%
54,01/06/2020,egypt,5.631%,0.954%
55,01/07/2020,egypt,4.203%,0.722%
56,01/08/2020,egypt,3.366%,0.836%
57,01/09/2020,egypt,3.694%,3.264%
58,01/10/2020,egypt,4.52%,3.889%
59,01/11/2020,egypt,5.696%,4.021%
60,01/12/2020,egypt,5.428%,3.803%
61,01/01/2021,egypt,4.285%,3.637%
62,01/02/2021,egypt,4.455%,3.645%
63,01/03/2021,egypt,4.476%,3.672%
64,01/04/2021,egypt,4.101%,3.331%
65,01/05/2021,egypt,4.829%,3.413%
66,01/06/2021,egypt,4.93%,3.849%
67,01/07/2021,egypt,5.446%,4.567%
68,01/08/2021,egypt,5.682%,4.526%
69,01/09/2021,egypt,6.579%,4.848%
70,01/10/2021,egypt,6.267%,5.221%
71,01/11/2021,egypt,5.556%,5.79%
72,01/12/2021,egypt,5.899%,5.968%
73,01/01/2022,egypt,7.259%,6.269%
74,01/02/2022,egypt,8.819%,7.234%
75,01/03/2022,egypt,10.491%,10.055%
76,01/04/2022,egypt,13.111%,11.943%
77,01/05/2022,egypt,13.529%,13.343%
78,01/06/2022,egypt,13.155%,14.571%
79,01/07/2022,egypt,13.640%,15.637%
80,01/08/2022,egypt,14.560%,16.657%
81,01/09/2022,egypt,15.021%,17.996%
82,01/10/2022,egypt,16.243%,19.021%
83,01/11/2022,egypt,18.724%,21.528%
84,01/12/2022,egypt,21.269%,24.449%
85,01/01/2023,egypt,25.834%,31.241%
86,01/02/2023,egypt,31.932%,40.262%
87,01/03/2023,egypt,32.665%,39.509%
88,01/04/2023,egypt,30.596%,38.575%
89,01/05/2023,egypt,32.750%,40.310%
90,01/06/2023,egypt,35.710%,41.000%
91,01/07/2023,egypt,36.460%,40.730%
92,01/08/2023,egypt,37.415%,40.380%
93,01/09/2023,egypt,38.000%,39.700%
94,01/10/2023,egypt,35.800%,38.100%
95,01/11/2023,egypt,34.550%,35.860%
96,01/12/2023,egypt,33.700%,34.180%
97,01/01/2024,egypt,29.800%,29.010%
98,01/02/2024,egypt,35.710%,35.120%
99,01/03/2024,egypt,33.340%,33.660%
100,01/04/2024,egypt,32.540%,31.810%
101,01/05/2024,egypt,28.150%,27.130%
102,01/06/2024,egypt,27.513%,26.642%
103,01/07/2024,egypt,25.673%,24.381%
104,01/08/2024,egypt,26.249%,25.126%
105,01/09/2024,egypt,26.397%,24.966%
106,01/10/2024,egypt,26.531%,24.404%
107,01/11/2024,egypt,25.540%,23.710%
