id,region,ticker,date,value
1,usa,inflation_rate_historical_data_annual_change,2016-01-01,237.652
2,usa,inflation_rate_historical_data_annual_change,2016-02-01,237.336
3,usa,inflation_rate_historical_data_annual_change,2016-03-01,238.08
4,usa,inflation_rate_historical_data_annual_change,2016-04-01,238.992
5,usa,inflation_rate_historical_data_annual_change,2016-05-01,239.557
6,usa,inflation_rate_historical_data_annual_change,2016-06-01,240.222
7,usa,inflation_rate_historical_data_annual_change,2016-07-01,240.101
8,usa,inflation_rate_historical_data_annual_change,2016-08-01,240.545
9,usa,inflation_rate_historical_data_annual_change,2016-09-01,241.176
10,usa,inflation_rate_historical_data_annual_change,2016-10-01,241.741
11,usa,inflation_rate_historical_data_annual_change,2016-11-01,242.026
12,usa,inflation_rate_historical_data_annual_change,2016-12-01,242.637
13,usa,inflation_rate_historical_data_annual_change,2017-01-01,243.618
14,usa,inflation_rate_historical_data_annual_change,2017-02-01,244.006
15,usa,inflation_rate_historical_data_annual_change,2017-03-01,243.892
16,usa,inflation_rate_historical_data_annual_change,2017-04-01,244.193
17,usa,inflation_rate_historical_data_annual_change,2017-05-01,244.004
18,usa,inflation_rate_historical_data_annual_change,2017-06-01,244.163
19,usa,inflation_rate_historical_data_annual_change,2017-07-01,244.243
20,usa,inflation_rate_historical_data_annual_change,2017-08-01,245.183
21,usa,inflation_rate_historical_data_annual_change,2017-09-01,246.435
22,usa,inflation_rate_historical_data_annual_change,2017-10-01,246.626
23,usa,inflation_rate_historical_data_annual_change,2017-11-01,247.284
24,usa,inflation_rate_historical_data_annual_change,2017-12-01,247.805
25,usa,inflation_rate_historical_data_annual_change,2018-01-01,248.859
26,usa,inflation_rate_historical_data_annual_change,2018-02-01,249.529
27,usa,inflation_rate_historical_data_annual_change,2018-03-01,249.577
28,usa,inflation_rate_historical_data_annual_change,2018-04-01,250.227
29,usa,inflation_rate_historical_data_annual_change,2018-05-01,250.792
30,usa,inflation_rate_historical_data_annual_change,2018-06-01,251.018
31,usa,inflation_rate_historical_data_annual_change,2018-07-01,251.214
32,usa,inflation_rate_historical_data_annual_change,2018-08-01,251.663
33,usa,inflation_rate_historical_data_annual_change,2018-09-01,252.182
34,usa,inflation_rate_historical_data_annual_change,2018-10-01,252.772
35,usa,inflation_rate_historical_data_annual_change,2018-11-01,252.594
36,usa,inflation_rate_historical_data_annual_change,2018-12-01,252.767
37,usa,inflation_rate_historical_data_annual_change,2019-01-01,252.561
38,usa,inflation_rate_historical_data_annual_change,2019-02-01,253.319
39,usa,inflation_rate_historical_data_annual_change,2019-03-01,254.277
40,usa,inflation_rate_historical_data_annual_change,2019-04-01,255.233
41,usa,inflation_rate_historical_data_annual_change,2019-05-01,255.296
42,usa,inflation_rate_historical_data_annual_change,2019-06-01,255.213
43,usa,inflation_rate_historical_data_annual_change,2019-07-01,255.802
44,usa,inflation_rate_historical_data_annual_change,2019-08-01,256.036
45,usa,inflation_rate_historical_data_annual_change,2019-09-01,256.43
46,usa,inflation_rate_historical_data_annual_change,2019-10-01,257.155
47,usa,inflation_rate_historical_data_annual_change,2019-11-01,257.879
48,usa,inflation_rate_historical_data_annual_change,2019-12-01,258.63
49,usa,inflation_rate_historical_data_annual_change,2020-01-01,259.127
50,usa,inflation_rate_historical_data_annual_change,2020-02-01,259.25
51,usa,inflation_rate_historical_data_annual_change,2020-03-01,258.076
52,usa,inflation_rate_historical_data_annual_change,2020-04-01,256.032
53,usa,inflation_rate_historical_data_annual_change,2020-05-01,255.802
54,usa,inflation_rate_historical_data_annual_change,2020-06-01,257.042
55,usa,inflation_rate_historical_data_annual_change,2020-07-01,258.352
56,usa,inflation_rate_historical_data_annual_change,2020-08-01,259.316
57,usa,inflation_rate_historical_data_annual_change,2020-09-01,259.997
58,usa,inflation_rate_historical_data_annual_change,2020-10-01,260.319
59,usa,inflation_rate_historical_data_annual_change,2020-11-01,260.911
60,usa,inflation_rate_historical_data_annual_change,2020-12-01,262.045
61,usa,inflation_rate_historical_data_annual_change,2021-01-01,262.687
62,usa,inflation_rate_historical_data_annual_change,2021-02-01,263.579
63,usa,inflation_rate_historical_data_annual_change,2021-03-01,264.961
64,usa,inflation_rate_historical_data_annual_change,2021-04-01,266.614
65,usa,inflation_rate_historical_data_annual_change,2021-05-01,268.383
66,usa,inflation_rate_historical_data_annual_change,2021-06-01,270.654
67,usa,inflation_rate_historical_data_annual_change,2021-07-01,271.903
68,usa,inflation_rate_historical_data_annual_change,2021-08-01,272.676
69,usa,inflation_rate_historical_data_annual_change,2021-09-01,273.91
70,usa,inflation_rate_historical_data_annual_change,2021-10-01,276.55
71,usa,inflation_rate_historical_data_annual_change,2021-11-01,278.919
72,usa,inflation_rate_historical_data_annual_change,2021-12-01,280.845
73,usa,inflation_rate_historical_data_annual_change,2022-01-01,282.543
74,usa,inflation_rate_historical_data_annual_change,2022-02-01,284.5
75,usa,inflation_rate_historical_data_annual_change,2022-03-01,287.674
76,usa,inflation_rate_historical_data_annual_change,2022-04-01,288.561
77,usa,inflation_rate_historical_data_annual_change,2022-05-01,291.298
78,usa,inflation_rate_historical_data_annual_change,2022-06-01,294.957
79,usa,inflation_rate_historical_data_annual_change,2022-07-01,294.913
80,usa,inflation_rate_historical_data_annual_change,2022-08-01,295.097
81,usa,inflation_rate_historical_data_annual_change,2022-09-01,296.349
82,usa,inflation_rate_historical_data_annual_change,2022-10-01,298.007
83,usa,inflation_rate_historical_data_annual_change,2022-11-01,298.786
84,usa,inflation_rate_historical_data_annual_change,2022-12-01,298.832
85,usa,inflation_rate_historical_data_annual_change,2023-01-01,300.42
86,usa,inflation_rate_historical_data_annual_change,2023-02-01,301.45
87,usa,inflation_rate_historical_data_annual_change,2023-03-01,301.821
88,usa,inflation_rate_historical_data_annual_change,2023-04-01,302.845
89,usa,inflation_rate_historical_data_annual_change,2023-05-01,303.334
90,usa,inflation_rate_historical_data_annual_change,2023-06-01,304.014
91,usa,inflation_rate_historical_data_annual_change,2023-07-01,304.609
92,usa,inflation_rate_historical_data_annual_change,2023-08-01,306.082
93,usa,inflation_rate_historical_data_annual_change,2023-09-01,307.276
94,usa,inflation_rate_historical_data_annual_change,2023-10-01,307.696
95,usa,inflation_rate_historical_data_annual_change,2023-11-01,308.148
96,usa,inflation_rate_historical_data_annual_change,2023-12-01,308.741
97,usa,inflation_rate_historical_data_annual_change,2024-01-01,309.698
98,usa,inflation_rate_historical_data_annual_change,2024-02-01,310.967
99,usa,inflation_rate_historical_data_annual_change,2024-03-01,312.345
100,usa,inflation_rate_historical_data_annual_change,2024-04-01,313.023
101,usa,inflation_rate_historical_data_annual_change,2024-05-01,313.175
102,usa,inflation_rate_historical_data_annual_change,2024-06-01,313.044
103,usa,inflation_rate_historical_data_annual_change,2024-07-01,313.569
104,usa,inflation_rate_historical_data_annual_change,2024-08-01,314.062
105,usa,inflation_rate_historical_data_annual_change,2024-09-01,314.732
106,usa,inflation_rate_historical_data_annual_change,2024-10-01,315.631
107,usa,inflation_rate_historical_data_annual_change,2024-11-01,316.528
108,usa,inflation_rate_historical_data_annual_change,2024-12-01,317.604
109,usa,inflation_rate_historical_data_annual_change,2025-01-01,318.961
110,usa,inflation_rate_historical_data_annual_change,2025-02-01,319.679
111,usa,inflation_rate_historical_data_annual_change,2025-03-01,319.785
112,usa,inflation_rate_historical_data_annual_change,2025-04-01,320.302
113,usa,inflation_rate_historical_data_annual_change,2025-05-01,320.62
114,usa,inflation_rate_historical_data_annual_change,2025-06-01,321.435
115,usa,inflation_rate_historical_data_annual_change,2025-07-01,322.169
116,usa,inflation_rate_historical_data_annual_change,2025-08-01,323.291
117,usa,inflation_rate_historical_data_annual_change,2025-09-01,324.245
119,usa,inflation_rate_historical_data_annual_change,2025-11-01,325.063
120,usa,inflation_rate_historical_data_annual_change,2025-12-01,326.031
121,usa,inflation_rate_historical_data_annual_change,2026-01-01,326.588
122,usa,inflation_rate_historical_data_annual_change,2026-02-01,327.46
123,usa,inflation_rate_historical_data_annual_change,2026-03-01,330.293
