id,region,ticker,date,value
1,japan,cpi,01/01/2016,99.46552
2,japan,cpi,02/01/2016,99.56732
3,japan,cpi,03/01/2016,99.56732
4,japan,cpi,04/01/2016,99.56732
5,japan,cpi,05/01/2016,99.56732
6,japan,cpi,06/01/2016,99.56732
7,japan,cpi,07/01/2016,99.56732
8,japan,cpi,08/01/2016,99.56732
9,japan,cpi,09/01/2016,99.56732
10,japan,cpi,10/01/2016,99.56732
11,japan,cpi,11/01/2016,99.56732
12,japan,cpi,12/01/2016,99.56732
13,japan,cpi,13/01/2016,99.56732
14,japan,cpi,14/01/2016,99.56732
15,japan,cpi,15/01/2016,99.56732
16,japan,cpi,16/01/2016,99.56732
17,japan,cpi,17/01/2016,99.56732
18,japan,cpi,18/01/2016,99.56732
19,japan,cpi,19/01/2016,99.56732
20,japan,cpi,20/01/2016,99.56732
21,japan,cpi,21/01/2016,99.56732
22,japan,cpi,22/01/2016,99.56732
23,japan,cpi,23/01/2016,99.56732
24,japan,cpi,24/01/2016,99.56732
25,japan,cpi,25/01/2016,99.56732
26,japan,cpi,26/01/2016,99.56732
27,japan,cpi,27/01/2016,99.56732
28,japan,cpi,28/01/2016,99.56732
29,japan,cpi,29/01/2016,99.56732
30,japan,cpi,30/01/2016,99.56732
31,japan,cpi,31/01/2016,99.56732
32,japan,cpi,01/02/2016,99.56732
33,japan,cpi,02/02/2016,99.66913
34,japan,cpi,03/02/2016,99.66913
35,japan,cpi,04/02/2016,99.66913
36,japan,cpi,05/02/2016,99.66913
37,japan,cpi,06/02/2016,99.66913
38,japan,cpi,07/02/2016,99.66913
39,japan,cpi,08/02/2016,99.66913
40,japan,cpi,09/02/2016,99.66913
41,japan,cpi,10/02/2016,99.66913
42,japan,cpi,11/02/2016,99.66913
43,japan,cpi,12/02/2016,99.66913
44,japan,cpi,13/02/2016,99.66913
45,japan,cpi,14/02/2016,99.66913
46,japan,cpi,15/02/2016,99.66913
47,japan,cpi,16/02/2016,99.66913
48,japan,cpi,17/02/2016,99.66913
49,japan,cpi,18/02/2016,99.66913
50,japan,cpi,19/02/2016,99.66913
51,japan,cpi,20/02/2016,99.66913
52,japan,cpi,21/02/2016,99.66913
53,japan,cpi,22/02/2016,99.66913
54,japan,cpi,23/02/2016,99.66913
55,japan,cpi,24/02/2016,99.66913
56,japan,cpi,25/02/2016,99.66913
57,japan,cpi,26/02/2016,99.66913
58,japan,cpi,27/02/2016,99.66913
59,japan,cpi,28/02/2016,99.66913
60,japan,cpi,29/02/2016,99.66913
61,japan,cpi,01/03/2016,99.66913
62,japan,cpi,02/03/2016,99.87274
63,japan,cpi,03/03/2016,99.87274
64,japan,cpi,04/03/2016,99.87274
65,japan,cpi,05/03/2016,99.87274
66,japan,cpi,06/03/2016,99.87274
67,japan,cpi,07/03/2016,99.87274
68,japan,cpi,08/03/2016,99.87274
69,japan,cpi,09/03/2016,99.87274
70,japan,cpi,10/03/2016,99.87274
71,japan,cpi,11/03/2016,99.87274
72,japan,cpi,12/03/2016,99.87274
73,japan,cpi,13/03/2016,99.87274
74,japan,cpi,14/03/2016,99.87274
75,japan,cpi,15/03/2016,99.87274
76,japan,cpi,16/03/2016,99.87274
77,japan,cpi,17/03/2016,99.87274
78,japan,cpi,18/03/2016,99.87274
79,japan,cpi,19/03/2016,99.87274
80,japan,cpi,20/03/2016,99.87274
81,japan,cpi,21/03/2016,99.87274
82,japan,cpi,22/03/2016,99.87274
83,japan,cpi,23/03/2016,99.87274
84,japan,cpi,24/03/2016,99.87274
85,japan,cpi,25/03/2016,99.87274
86,japan,cpi,26/03/2016,99.87274
87,japan,cpi,27/03/2016,99.87274
88,japan,cpi,28/03/2016,99.87274
89,japan,cpi,29/03/2016,99.87274
90,japan,cpi,30/03/2016,99.87274
91,japan,cpi,31/03/2016,99.87274
92,japan,cpi,01/04/2016,99.87274
93,japan,cpi,02/04/2016,99.97455
94,japan,cpi,03/04/2016,99.97455
95,japan,cpi,04/04/2016,99.97455
96,japan,cpi,05/04/2016,99.97455
97,japan,cpi,06/04/2016,99.97455
98,japan,cpi,07/04/2016,99.97455
99,japan,cpi,08/04/2016,99.97455
100,japan,cpi,09/04/2016,99.97455
101,japan,cpi,10/04/2016,99.97455
102,japan,cpi,11/04/2016,99.97455
103,japan,cpi,12/04/2016,99.97455
104,japan,cpi,13/04/2016,99.97455
105,japan,cpi,14/04/2016,99.97455
106,japan,cpi,15/04/2016,99.97455
107,japan,cpi,16/04/2016,99.97455
108,japan,cpi,17/04/2016,99.97455
109,japan,cpi,18/04/2016,99.97455
110,japan,cpi,19/04/2016,99.97455
111,japan,cpi,20/04/2016,99.97455
112,japan,cpi,21/04/2016,99.97455
113,japan,cpi,22/04/2016,99.97455
114,japan,cpi,23/04/2016,99.97455
115,japan,cpi,24/04/2016,99.97455
116,japan,cpi,25/04/2016,99.97455
117,japan,cpi,26/04/2016,99.97455
118,japan,cpi,27/04/2016,99.97455
119,japan,cpi,28/04/2016,99.97455
120,japan,cpi,29/04/2016,99.97455
121,japan,cpi,30/04/2016,99.97455
122,japan,cpi,01/05/2016,99.97455
123,japan,cpi,02/05/2016,99.87274
124,japan,cpi,03/05/2016,99.87274
125,japan,cpi,04/05/2016,99.87274
126,japan,cpi,05/05/2016,99.87274
127,japan,cpi,06/05/2016,99.87274
128,japan,cpi,07/05/2016,99.87274
129,japan,cpi,08/05/2016,99.87274
130,japan,cpi,09/05/2016,99.87274
131,japan,cpi,10/05/2016,99.87274
132,japan,cpi,11/05/2016,99.87274
133,japan,cpi,12/05/2016,99.87274
134,japan,cpi,13/05/2016,99.87274
135,japan,cpi,14/05/2016,99.87274
136,japan,cpi,15/05/2016,99.87274
137,japan,cpi,16/05/2016,99.87274
138,japan,cpi,17/05/2016,99.87274
139,japan,cpi,18/05/2016,99.87274
140,japan,cpi,19/05/2016,99.87274
141,japan,cpi,20/05/2016,99.87274
142,japan,cpi,21/05/2016,99.87274
143,japan,cpi,22/05/2016,99.87274
144,japan,cpi,23/05/2016,99.87274
