id,region,ticker,date,value
1,norway,cpi,01/01/2016,73.7
2,norway,cpi,02/01/2016,73.7
3,norway,cpi,03/01/2016,73.7
4,norway,cpi,04/01/2016,73.7
5,norway,cpi,05/01/2016,73.7
6,norway,cpi,06/01/2016,73.7
7,norway,cpi,07/01/2016,73.7
8,norway,cpi,08/01/2016,73.7
9,norway,cpi,09/01/2016,73.7
10,norway,cpi,10/01/2016,73.7
11,norway,cpi,11/01/2016,73.7
12,norway,cpi,12/01/2016,73.7
13,norway,cpi,13/01/2016,73.7
14,norway,cpi,14/01/2016,73.7
15,norway,cpi,15/01/2016,73.7
16,norway,cpi,16/01/2016,73.7
17,norway,cpi,17/01/2016,73.7
18,norway,cpi,18/01/2016,73.7
19,norway,cpi,19/01/2016,73.7
20,norway,cpi,20/01/2016,73.7
21,norway,cpi,21/01/2016,73.7
22,norway,cpi,22/01/2016,73.7
23,norway,cpi,23/01/2016,73.7
24,norway,cpi,24/01/2016,73.7
25,norway,cpi,25/01/2016,73.7
26,norway,cpi,26/01/2016,73.7
27,norway,cpi,27/01/2016,73.7
28,norway,cpi,28/01/2016,73.7
29,norway,cpi,29/01/2016,73.7
30,norway,cpi,30/01/2016,73.7
31,norway,cpi,31/01/2016,73.7
32,norway,cpi,01/02/2016,74.1
33,norway,cpi,02/02/2016,74.1
34,norway,cpi,03/02/2016,74.1
35,norway,cpi,04/02/2016,74.1
36,norway,cpi,05/02/2016,74.1
37,norway,cpi,06/02/2016,74.1
38,norway,cpi,07/02/2016,74.1
39,norway,cpi,08/02/2016,74.1
40,norway,cpi,09/02/2016,74.1
41,norway,cpi,10/02/2016,74.1
42,norway,cpi,11/02/2016,74.1
43,norway,cpi,12/02/2016,74.1
44,norway,cpi,13/02/2016,74.1
45,norway,cpi,14/02/2016,74.1
46,norway,cpi,15/02/2016,74.1
47,norway,cpi,16/02/2016,74.1
48,norway,cpi,17/02/2016,74.1
49,norway,cpi,18/02/2016,74.1
50,norway,cpi,19/02/2016,74.1
51,norway,cpi,20/02/2016,74.1
52,norway,cpi,21/02/2016,74.1
53,norway,cpi,22/02/2016,74.1
54,norway,cpi,23/02/2016,74.1
55,norway,cpi,24/02/2016,74.1
56,norway,cpi,25/02/2016,74.1
57,norway,cpi,26/02/2016,74.1
58,norway,cpi,27/02/2016,74.1
59,norway,cpi,28/02/2016,74.1
60,norway,cpi,29/02/2016,74.1
61,norway,cpi,01/03/2016,74.4
62,norway,cpi,02/03/2016,74.4
63,norway,cpi,03/03/2016,74.4
64,norway,cpi,04/03/2016,74.4
65,norway,cpi,05/03/2016,74.4
66,norway,cpi,06/03/2016,74.4
67,norway,cpi,07/03/2016,74.4
68,norway,cpi,08/03/2016,74.4
69,norway,cpi,09/03/2016,74.4
70,norway,cpi,10/03/2016,74.4
71,norway,cpi,11/03/2016,74.4
72,norway,cpi,12/03/2016,74.4
73,norway,cpi,13/03/2016,74.4
74,norway,cpi,14/03/2016,74.4
75,norway,cpi,15/03/2016,74.4
76,norway,cpi,16/03/2016,74.4
77,norway,cpi,17/03/2016,74.4
78,norway,cpi,18/03/2016,74.4
79,norway,cpi,19/03/2016,74.4
80,norway,cpi,20/03/2016,74.4
81,norway,cpi,21/03/2016,74.4
82,norway,cpi,22/03/2016,74.4
83,norway,cpi,23/03/2016,74.4
84,norway,cpi,24/03/2016,74.4
85,norway,cpi,25/03/2016,74.4
86,norway,cpi,26/03/2016,74.4
87,norway,cpi,27/03/2016,74.4
88,norway,cpi,28/03/2016,74.4
89,norway,cpi,29/03/2016,74.4
90,norway,cpi,30/03/2016,74.4
91,norway,cpi,31/03/2016,74.4
92,norway,cpi,01/04/2016,74.7
93,norway,cpi,02/04/2016,74.7
94,norway,cpi,03/04/2016,74.7
95,norway,cpi,04/04/2016,74.7
96,norway,cpi,05/04/2016,74.7
97,norway,cpi,06/04/2016,74.7
98,norway,cpi,07/04/2016,74.7
99,norway,cpi,08/04/2016,74.7
100,norway,cpi,09/04/2016,74.7
101,norway,cpi,10/04/2016,74.7
102,norway,cpi,11/04/2016,74.7
103,norway,cpi,12/04/2016,74.7
104,norway,cpi,13/04/2016,74.7
105,norway,cpi,14/04/2016,74.7
106,norway,cpi,15/04/2016,74.7
107,norway,cpi,16/04/2016,74.7
108,norway,cpi,17/04/2016,74.7
109,norway,cpi,18/04/2016,74.7
110,norway,cpi,19/04/2016,74.7
111,norway,cpi,20/04/2016,74.7
112,norway,cpi,21/04/2016,74.7
113,norway,cpi,22/04/2016,74.7
114,norway,cpi,23/04/2016,74.7
115,norway,cpi,24/04/2016,74.7
116,norway,cpi,25/04/2016,74.7
117,norway,cpi,26/04/2016,74.7
118,norway,cpi,27/04/2016,74.7
119,norway,cpi,28/04/2016,74.7
120,norway,cpi,29/04/2016,74.7
121,norway,cpi,30/04/2016,74.7
122,norway,cpi,01/05/2016,74.9
123,norway,cpi,02/05/2016,74.9
124,norway,cpi,03/05/2016,74.9
125,norway,cpi,04/05/2016,74.9
126,norway,cpi,05/05/2016,74.9
127,norway,cpi,06/05/2016,74.9
128,norway,cpi,07/05/2016,74.9
129,norway,cpi,08/05/2016,74.9
130,norway,cpi,09/05/2016,74.9
131,norway,cpi,10/05/2016,74.9
132,norway,cpi,11/05/2016,74.9
133,norway,cpi,12/05/2016,74.9
134,norway,cpi,13/05/2016,74.9
135,norway,cpi,14/05/2016,74.9
136,norway,cpi,15/05/2016,74.9
137,norway,cpi,16/05/2016,74.9
138,norway,cpi,17/05/2016,74.9
139,norway,cpi,18/05/2016,74.9
140,norway,cpi,19/05/2016,74.9
141,norway,cpi,20/05/2016,74.9
142,norway,cpi,21/05/2016,74.9
143,norway,cpi,22/05/2016,74.9
144,norway,cpi,23/05/2016,74.9
145,norway,cpi,24/05/2016,74.9
146,norway,cpi,25/05/2016,74.9
147,norway,cpi,26/05/2016,74.9
148,norway,cpi,27/05/2016,74.9
149,norway,cpi,28/05/2016,74.9
150,norway,cpi,29/05/2016,74.9
151,norway,cpi,30/05/2016,74.9
152,norway,cpi,31/05/2016,74.9
153,norway,cpi,01/06/2016,75.4
154,norway,cpi,02/06/2016,75.4
155,norway,cpi,03/06/2016,75.4
156,norway,cpi,04/06/2016,75.4
157,norway,cpi,05/06/2016,75.4
158,norway,cpi,06/06/2016,75.4
159,norway,cpi,07/06/2016,75.4
160,norway,cpi,08/06/2016,75.4
161,norway,cpi,09/06/2016,75.4
162,norway,cpi,10/06/2016,75.4
163,norway,cpi,11/06/2016,75.4
164,norway,cpi,12/06/2016,75.4
165,norway,cpi,13/06/2016,75.4
