id,region,ticker,date,value
1,norway,gdp_mainland,01/01/2016,202875.0
2,norway,gdp_mainland,02/01/2016,202875.0
3,norway,gdp_mainland,03/01/2016,202875.0
4,norway,gdp_mainland,04/01/2016,202875.0
5,norway,gdp_mainland,05/01/2016,202875.0
6,norway,gdp_mainland,06/01/2016,202875.0
7,norway,gdp_mainland,07/01/2016,202875.0
8,norway,gdp_mainland,08/01/2016,202875.0
9,norway,gdp_mainland,09/01/2016,202875.0
10,norway,gdp_mainland,10/01/2016,202875.0
11,norway,gdp_mainland,11/01/2016,202875.0
12,norway,gdp_mainland,12/01/2016,202875.0
13,norway,gdp_mainland,13/01/2016,202875.0
14,norway,gdp_mainland,14/01/2016,202875.0
15,norway,gdp_mainland,15/01/2016,202875.0
16,norway,gdp_mainland,16/01/2016,202875.0
17,norway,gdp_mainland,17/01/2016,202875.0
18,norway,gdp_mainland,18/01/2016,202875.0
19,norway,gdp_mainland,19/01/2016,202875.0
20,norway,gdp_mainland,20/01/2016,202875.0
21,norway,gdp_mainland,21/01/2016,202875.0
22,norway,gdp_mainland,22/01/2016,202875.0
23,norway,gdp_mainland,23/01/2016,202875.0
24,norway,gdp_mainland,24/01/2016,202875.0
25,norway,gdp_mainland,25/01/2016,202875.0
26,norway,gdp_mainland,26/01/2016,202875.0
27,norway,gdp_mainland,27/01/2016,202875.0
28,norway,gdp_mainland,28/01/2016,202875.0
29,norway,gdp_mainland,29/01/2016,202875.0
30,norway,gdp_mainland,30/01/2016,202875.0
31,norway,gdp_mainland,31/01/2016,202875.0
32,norway,gdp_mainland,01/02/2016,195969.0
33,norway,gdp_mainland,02/02/2016,195969.0
34,norway,gdp_mainland,03/02/2016,195969.0
35,norway,gdp_mainland,04/02/2016,195969.0
36,norway,gdp_mainland,05/02/2016,195969.0
37,norway,gdp_mainland,06/02/2016,195969.0
38,norway,gdp_mainland,07/02/2016,195969.0
39,norway,gdp_mainland,08/02/2016,195969.0
40,norway,gdp_mainland,09/02/2016,195969.0
41,norway,gdp_mainland,10/02/2016,195969.0
42,norway,gdp_mainland,11/02/2016,195969.0
43,norway,gdp_mainland,12/02/2016,195969.0
44,norway,gdp_mainland,13/02/2016,195969.0
45,norway,gdp_mainland,14/02/2016,195969.0
46,norway,gdp_mainland,15/02/2016,195969.0
47,norway,gdp_mainland,16/02/2016,195969.0
48,norway,gdp_mainland,17/02/2016,195969.0
49,norway,gdp_mainland,18/02/2016,195969.0
50,norway,gdp_mainland,19/02/2016,195969.0
51,norway,gdp_mainland,20/02/2016,195969.0
