id,region,ticker,date,price_usd,high_usd,low_usd,open_usd
1,china,shanghai,2016-01-01,3296.258056640625,3538.68896484375,3295.740966796875,3536.589111328125
2,china,shanghai,2016-01-02,3296.258056640625,3538.68896484375,3295.740966796875,3536.589111328125
3,china,shanghai,2016-01-03,3296.258056640625,3538.68896484375,3295.740966796875,3536.589111328125
4,china,shanghai,2016-01-04,3296.258056640625,3538.68896484375,3295.740966796875,3536.589111328125
5,china,shanghai,2016-01-05,3287.7109375,3328.138916015625,3189.60498046875,3196.65087890625
6,china,shanghai,2016-01-06,3361.840087890625,3362.97412109375,3288.93310546875,3291.195068359375
7,china,shanghai,2016-01-07,3125.001953125,3309.656982421875,3115.885009765625,3309.656982421875
8,china,shanghai,2016-01-08,3186.412109375,3235.450927734375,3056.8779296875,3194.625
9,china,shanghai,2016-01-09,3016.7041015625,3166.215087890625,3016.697021484375,3131.85302734375
10,china,shanghai,2016-01-10,3016.7041015625,3166.215087890625,3016.697021484375,3131.85302734375
11,china,shanghai,2016-01-11,3016.7041015625,3166.215087890625,3016.697021484375,3131.85302734375
12,china,shanghai,2016-01-12,3022.861083984375,3047.6640625,2978.462890625,3026.158935546875
13,china,shanghai,2016-01-13,2949.596923828125,3059.014892578125,2949.2900390625,3041.10693359375
14,china,shanghai,2016-01-14,3007.64892578125,3012.29296875,2867.552978515625,2874.049072265625
15,china,shanghai,2016-01-15,2900.969970703125,3001.7080078125,2883.867919921875,2988.048095703125
16,china,shanghai,2016-01-16,2913.8369140625,2945.449951171875,2844.7041015625,2847.5390625
17,china,shanghai,2016-01-17,2913.8369140625,2945.449951171875,2844.7041015625,2847.5390625
18,china,shanghai,2016-01-18,2913.8369140625,2945.449951171875,2844.7041015625,2847.5390625
19,china,shanghai,2016-01-19,3007.739013671875,3012.068115234375,2906.404052734375,2914.407958984375
20,china,shanghai,2016-01-20,2976.694091796875,3016.282958984375,2951.922119140625,2993.013916015625
21,china,shanghai,2016-01-21,2880.48193359375,2998.7900390625,2880.0849609375,2934.39111328125
22,china,shanghai,2016-01-22,2916.56201171875,2931.35888671875,2851.73291015625,2911.112060546875
23,china,shanghai,2016-01-23,2938.514892578125,2955.782958984375,2911.8291015625,2934.077880859375
24,china,shanghai,2016-01-24,2938.514892578125,2955.782958984375,2911.8291015625,2934.077880859375
25,china,shanghai,2016-01-25,2938.514892578125,2955.782958984375,2911.8291015625,2934.077880859375
26,china,shanghai,2016-01-26,2749.784912109375,2911.990966796875,2743.839111328125,2907.718017578125
27,china,shanghai,2016-01-27,2735.55810546875,2768.77197265625,2638.302001953125,2756.08203125
28,china,shanghai,2016-01-28,2655.660888671875,2740.535888671875,2647.492919921875,2711.157958984375
29,china,shanghai,2016-01-29,2737.60009765625,2755.366943359375,2649.791015625,2652.85400390625
30,china,shanghai,2016-01-30,2688.85400390625,2735.2548828125,2655.623046875,2730.98388671875
31,china,shanghai,2016-01-31,2688.85400390625,2735.2548828125,2655.623046875,2730.98388671875
32,china,shanghai,2016-02-01,2688.85400390625,2735.2548828125,2655.623046875,2730.98388671875
33,china,shanghai,2016-02-02,2749.570068359375,2755.158935546875,2687.98193359375,2687.98193359375
34,china,shanghai,2016-02-03,2739.2470703125,2746.072021484375,2696.884033203125,2719.573974609375
35,china,shanghai,2016-02-04,2781.02294921875,2793.298095703125,2751.31396484375,2751.431884765625
36,china,shanghai,2016-02-05,2763.491943359375,2790.06103515625,2762.159912109375,2783.075927734375
37,china,shanghai,2016-02-06,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
38,china,shanghai,2016-02-07,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
39,china,shanghai,2016-02-08,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
40,china,shanghai,2016-02-09,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
41,china,shanghai,2016-02-10,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
42,china,shanghai,2016-02-11,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
43,china,shanghai,2016-02-12,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
44,china,shanghai,2016-02-13,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
45,china,shanghai,2016-02-14,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
46,china,shanghai,2016-02-15,2746.196044921875,2760.35888671875,2682.090087890625,2684.9609375
47,china,shanghai,2016-02-16,2836.571044921875,2840.6220703125,2758.5791015625,2758.5791015625
48,china,shanghai,2016-02-17,2867.337890625,2868.700927734375,2824.35595703125,2829.763916015625
49,china,shanghai,2016-02-18,2862.89306640625,2893.215087890625,2857.698974609375,2881.777099609375
50,china,shanghai,2016-02-19,2860.02099609375,2872.72412109375,2840.488037109375,2854.904052734375
51,china,shanghai,2016-02-20,2927.175048828125,2933.964111328125,2880.346923828125,2888.597900390625
52,china,shanghai,2016-02-21,2927.175048828125,2933.964111328125,2880.346923828125,2888.597900390625
53,china,shanghai,2016-02-22,2927.175048828125,2933.964111328125,2880.346923828125,2888.597900390625
54,china,shanghai,2016-02-23,2903.3310546875,2928.048095703125,2872.281982421875,2925.7080078125
55,china,shanghai,2016-02-24,2928.89599609375,2929.87109375,2872.27392578125,2889.885009765625
56,china,shanghai,2016-02-25,2741.2451171875,2922.237060546875,2729.85107421875,2922.237060546875
57,china,shanghai,2016-02-26,2767.2099609375,2784.7529296875,2715.8740234375,2760.05810546875
58,china,shanghai,2016-02-27,2687.97900390625,2755.889892578125,2638.962890625,2754.81396484375
59,china,shanghai,2016-02-28,2687.97900390625,2755.889892578125,2638.962890625,2754.81396484375
