id,date,region,ticker,value
1,01/01/2016,egypt,egpusd,7.7301
2,02/01/2016,egypt,egpusd,7.7301
3,03/01/2016,egypt,egpusd,7.7301
4,04/01/2016,egypt,egpusd,7.7301
5,05/01/2016,egypt,egpusd,7.7301
6,06/01/2016,egypt,egpusd,7.7301
7,07/01/2016,egypt,egpusd,7.7301
8,08/01/2016,egypt,egpusd,7.7301
9,09/01/2016,egypt,egpusd,7.7301
10,10/01/2016,egypt,egpusd,7.7301
11,11/01/2016,egypt,egpusd,7.7301
12,12/01/2016,egypt,egpusd,7.7301
13,13/01/2016,egypt,egpusd,7.7301
14,14/01/2016,egypt,egpusd,7.7301
15,15/01/2016,egypt,egpusd,7.7301
16,16/01/2016,egypt,egpusd,7.7301
17,17/01/2016,egypt,egpusd,7.7301
18,18/01/2016,egypt,egpusd,7.7301
19,19/01/2016,egypt,egpusd,7.7301
20,20/01/2016,egypt,egpusd,7.7301
21,21/01/2016,egypt,egpusd,7.7301
22,22/01/2016,egypt,egpusd,7.7301
23,23/01/2016,egypt,egpusd,7.7301
24,24/01/2016,egypt,egpusd,7.7301
25,25/01/2016,egypt,egpusd,7.7301
26,26/01/2016,egypt,egpusd,7.7301
27,27/01/2016,egypt,egpusd,7.7301
28,28/01/2016,egypt,egpusd,7.7301
29,29/01/2016,egypt,egpusd,7.7301
30,30/01/2016,egypt,egpusd,7.7301
31,31/01/2016,egypt,egpusd,7.7301
32,01/02/2016,egypt,egpusd,7.7301
33,02/02/2016,egypt,egpusd,7.7301
34,03/02/2016,egypt,egpusd,7.7301
35,04/02/2016,egypt,egpusd,7.7301
36,05/02/2016,egypt,egpusd,7.7301
37,06/02/2016,egypt,egpusd,7.7301
38,07/02/2016,egypt,egpusd,7.7301
39,08/02/2016,egypt,egpusd,7.7301
40,09/02/2016,egypt,egpusd,7.7301
41,10/02/2016,egypt,egpusd,7.7301
42,11/02/2016,egypt,egpusd,7.7301
43,12/02/2016,egypt,egpusd,7.7301
44,13/02/2016,egypt,egpusd,7.7301
45,14/02/2016,egypt,egpusd,7.7301
46,15/02/2016,egypt,egpusd,7.7301
47,16/02/2016,egypt,egpusd,7.7301
48,17/02/2016,egypt,egpusd,7.7301
49,18/02/2016,egypt,egpusd,7.7301
50,19/02/2016,egypt,egpusd,7.7301
51,20/02/2016,egypt,egpusd,7.7301
52,21/02/2016,egypt,egpusd,7.7301
53,22/02/2016,egypt,egpusd,7.7301
54,23/02/2016,egypt,egpusd,7.7301
55,24/02/2016,egypt,egpusd,7.7301
56,25/02/2016,egypt,egpusd,7.7301
57,26/02/2016,egypt,egpusd,7.7301
58,27/02/2016,egypt,egpusd,7.7301
59,28/02/2016,egypt,egpusd,7.7301
60,29/02/2016,egypt,egpusd,7.7301
61,01/03/2016,egypt,egpusd,7.7301
62,02/03/2016,egypt,egpusd,7.7301
63,03/03/2016,egypt,egpusd,7.7301
64,04/03/2016,egypt,egpusd,7.7301
65,05/03/2016,egypt,egpusd,7.7301
66,06/03/2016,egypt,egpusd,7.7301
67,07/03/2016,egypt,egpusd,7.7301
68,08/03/2016,egypt,egpusd,7.7301
69,09/03/2016,egypt,egpusd,7.7301
70,10/03/2016,egypt,egpusd,7.7301
71,11/03/2016,egypt,egpusd,7.7301
72,12/03/2016,egypt,egpusd,7.7301
73,13/03/2016,egypt,egpusd,7.7301
74,14/03/2016,egypt,egpusd,8.85
75,15/03/2016,egypt,egpusd,8.85
76,16/03/2016,egypt,egpusd,8.78
77,17/03/2016,egypt,egpusd,8.78
78,18/03/2016,egypt,egpusd,8.78
79,19/03/2016,egypt,egpusd,8.78
80,20/03/2016,egypt,egpusd,8.78
81,21/03/2016,egypt,egpusd,8.78
82,22/03/2016,egypt,egpusd,8.78
83,23/03/2016,egypt,egpusd,8.78
84,24/03/2016,egypt,egpusd,8.78
85,25/03/2016,egypt,egpusd,8.78
86,26/03/2016,egypt,egpusd,8.78
87,27/03/2016,egypt,egpusd,8.78
88,28/03/2016,egypt,egpusd,8.78
89,29/03/2016,egypt,egpusd,8.78
90,30/03/2016,egypt,egpusd,8.78
91,31/03/2016,egypt,egpusd,8.78
92,01/04/2016,egypt,egpusd,8.78
93,02/04/2016,egypt,egpusd,8.78
94,03/04/2016,egypt,egpusd,8.78
95,04/04/2016,egypt,egpusd,8.78
96,05/04/2016,egypt,egpusd,8.78
97,06/04/2016,egypt,egpusd,8.78
98,07/04/2016,egypt,egpusd,8.78
99,08/04/2016,egypt,egpusd,8.78
100,09/04/2016,egypt,egpusd,8.78
101,10/04/2016,egypt,egpusd,8.78
102,11/04/2016,egypt,egpusd,8.78
103,12/04/2016,egypt,egpusd,8.78
104,13/04/2016,egypt,egpusd,8.78
105,14/04/2016,egypt,egpusd,8.78
106,15/04/2016,egypt,egpusd,8.78
107,16/04/2016,egypt,egpusd,8.78
108,17/04/2016,egypt,egpusd,8.78
109,18/04/2016,egypt,egpusd,8.78
110,19/04/2016,egypt,egpusd,8.78
111,20/04/2016,egypt,egpusd,8.78
112,21/04/2016,egypt,egpusd,8.78
113,22/04/2016,egypt,egpusd,8.78
114,23/04/2016,egypt,egpusd,8.78
115,24/04/2016,egypt,egpusd,8.78
116,25/04/2016,egypt,egpusd,8.78
117,26/04/2016,egypt,egpusd,8.78
118,27/04/2016,egypt,egpusd,8.78
119,28/04/2016,egypt,egpusd,8.78
120,29/04/2016,egypt,egpusd,8.78
121,30/04/2016,egypt,egpusd,8.78
122,01/05/2016,egypt,egpusd,8.78
123,02/05/2016,egypt,egpusd,8.78
124,03/05/2016,egypt,egpusd,8.78
125,04/05/2016,egypt,egpusd,8.78
126,05/05/2016,egypt,egpusd,8.78
127,06/05/2016,egypt,egpusd,8.78
128,07/05/2016,egypt,egpusd,8.78
129,08/05/2016,egypt,egpusd,8.78
130,09/05/2016,egypt,egpusd,8.78
131,10/05/2016,egypt,egpusd,8.78
132,11/05/2016,egypt,egpusd,8.78
133,12/05/2016,egypt,egpusd,8.78
134,13/05/2016,egypt,egpusd,8.78
135,14/05/2016,egypt,egpusd,8.78
136,15/05/2016,egypt,egpusd,8.78
137,16/05/2016,egypt,egpusd,8.78
138,17/05/2016,egypt,egpusd,8.78
139,18/05/2016,egypt,egpusd,8.78
140,19/05/2016,egypt,egpusd,8.78
141,20/05/2016,egypt,egpusd,8.78
142,21/05/2016,egypt,egpusd,8.78
143,22/05/2016,egypt,egpusd,8.78
144,23/05/2016,egypt,egpusd,8.78
145,24/05/2016,egypt,egpusd,8.78
146,25/05/2016,egypt,egpusd,8.78
147,26/05/2016,egypt,egpusd,8.78
148,27/05/2016,egypt,egpusd,8.78
149,28/05/2016,egypt,egpusd,8.78
150,29/05/2016,egypt,egpusd,8.78
151,30/05/2016,egypt,egpusd,8.78
152,31/05/2016,egypt,egpusd,8.78
153,01/06/2016,egypt,egpusd,8.78
154,02/06/2016,egypt,egpusd,8.78
155,03/06/2016,egypt,egpusd,8.78
156,04/06/2016,egypt,egpusd,8.78
157,05/06/2016,egypt,egpusd,8.78
158,06/06/2016,egypt,egpusd,8.78
159,07/06/2016,egypt,egpusd,8.78
160,08/06/2016,egypt,egpusd,8.78
161,09/06/2016,egypt,egpusd,8.78
162,10/06/2016,egypt,egpusd,8.78
163,11/06/2016,egypt,egpusd,8.78
164,12/06/2016,egypt,egpusd,8.78
165,13/06/2016,egypt,egpusd,8.78
166,14/06/2016,egypt,egpusd,8.78
167,15/06/2016,egypt,egpusd,8.78
168,16/06/2016,egypt,egpusd,8.78
169,17/06/2016,egypt,egpusd,8.78
170,18/06/2016,egypt,egpusd,8.78
171,19/06/2016,egypt,egpusd,8.78
172,20/06/2016,egypt,egpusd,8.78
173,21/06/2016,egypt,egpusd,8.78
174,22/06/2016,egypt,egpusd,8.78
175,23/06/2016,egypt,egpusd,8.78
176,24/06/2016,egypt,egpusd,8.78
177,25/06/2016,egypt,egpusd,8.78
178,26/06/2016,egypt,egpusd,8.78
179,27/06/2016,egypt,egpusd,8.78
180,28/06/2016,egypt,egpusd,8.78
181,29/06/2016,egypt,egpusd,8.78
182,30/06/2016,egypt,egpusd,8.78
183,01/07/2016,egypt,egpusd,8.78
184,02/07/2016,egypt,egpusd,8.78
185,03/07/2016,egypt,egpusd,8.78
186,04/07/2016,egypt,egpusd,8.78
187,05/07/2016,egypt,egpusd,8.78
188,06/07/2016,egypt,egpusd,8.78
189,07/07/2016,egypt,egpusd,8.78
190,08/07/2016,egypt,egpusd,8.78
191,09/07/2016,egypt,egpusd,8.78
192,10/07/2016,egypt,egpusd,8.78
193,11/07/2016,egypt,egpusd,8.78
194,12/07/2016,egypt,egpusd,8.78
195,13/07/2016,egypt,egpusd,8.78
196,14/07/2016,egypt,egpusd,8.78
197,15/07/2016,egypt,egpusd,8.78
198,16/07/2016,egypt,egpusd,8.78
199,17/07/2016,egypt,egpusd,8.78
200,18/07/2016,egypt,egpusd,8.78
201,19/07/2016,egypt,egpusd,8.78
202,20/07/2016,egypt,egpusd,8.78
203,21/07/2016,egypt,egpusd,8.78
204,22/07/2016,egypt,egpusd,8.78
205,23/07/2016,egypt,egpusd,8.78
206,24/07/2016,egypt,egpusd,8.78
207,25/07/2016,egypt,egpusd,8.78
208,26/07/2016,egypt,egpusd,8.78
209,27/07/2016,egypt,egpusd,8.78
210,28/07/2016,egypt,egpusd,8.78
211,29/07/2016,egypt,egpusd,8.78
212,30/07/2016,egypt,egpusd,8.78
213,31/07/2016,egypt,egpusd,8.78
214,01/08/2016,egypt,egpusd,8.78
215,02/08/2016,egypt,egpusd,8.78
216,03/08/2016,egypt,egpusd,8.78
217,04/08/2016,egypt,egpusd,8.78
218,05/08/2016,egypt,egpusd,8.78
219,06/08/2016,egypt,egpusd,8.78
220,07/08/2016,egypt,egpusd,8.78
221,08/08/2016,egypt,egpusd,8.78
222,09/08/2016,egypt,egpusd,8.78
223,10/08/2016,egypt,egpusd,8.78
224,11/08/2016,egypt,egpusd,8.78
225,12/08/2016,egypt,egpusd,8.78
226,13/08/2016,egypt,egpusd,8.78
227,14/08/2016,egypt,egpusd,8.78
228,15/08/2016,egypt,egpusd,8.78
229,16/08/2016,egypt,egpusd,8.78
230,17/08/2016,egypt,egpusd,8.78
231,18/08/2016,egypt,egpusd,8.78
232,19/08/2016,egypt,egpusd,8.78
233,20/08/2016,egypt,egpusd,8.78
234,21/08/2016,egypt,egpusd,8.78
235,22/08/2016,egypt,egpusd,8.78
236,23/08/2016,egypt,egpusd,8.78
237,24/08/2016,egypt,egpusd,8.78
238,25/08/2016,egypt,egpusd,8.78
239,26/08/2016,egypt,egpusd,8.78
240,27/08/2016,egypt,egpusd,8.78
241,28/08/2016,egypt,egpusd,8.78
242,29/08/2016,egypt,egpusd,8.78
243,30/08/2016,egypt,egpusd,8.78
244,31/08/2016,egypt,egpusd,8.78
245,01/09/2016,egypt,egpusd,8.78
246,02/09/2016,egypt,egpusd,8.78
247,03/09/2016,egypt,egpusd,8.78
248,04/09/2016,egypt,egpusd,8.78
249,05/09/2016,egypt,egpusd,8.78
250,06/09/2016,egypt,egpusd,8.78
