,id,region,date,gpr_ai,gpr_aer,gpr_oil,gpr_nonoil
0,1,global,2016-01-01,140.55,171.42,0.0,149.74
1,2,global,2016-01-02,151.66,87.2,201.74,148.39
2,3,global,2016-01-03,72.12,65.54,170.59,65.68
3,4,global,2016-01-04,134.0,157.31,102.35,136.07
4,5,global,2016-01-05,177.08,134.38,466.34,158.16
5,6,global,2016-01-06,170.72,196.63,314.93,161.29
6,7,global,2016-01-07,99.23,101.29,263.64,88.48
7,8,global,2016-01-08,159.58,135.68,535.06,135.03
8,9,global,2016-01-09,179.02,178.02,102.96,184.0
9,10,global,2016-01-10,116.2,78.65,102.35,117.11
10,11,global,2016-01-11,153.46,140.11,208.38,149.87
11,12,global,2016-01-12,141.0,209.93,252.18,133.73
12,13,global,2016-01-13,115.85,131.09,159.22,113.02
13,14,global,2016-01-14,111.3,124.19,161.61,108.01
14,15,global,2016-01-15,114.56,128.07,66.67,117.69
15,16,global,2016-01-16,84.17,135.52,117.57,81.99
16,17,global,2016-01-17,100.05,108.41,94.05,100.44
17,18,global,2016-01-18,115.09,140.11,104.19,115.81
18,19,global,2016-01-19,157.55,109.6,190.17,155.41
19,20,global,2016-01-20,160.25,188.12,225.98,155.95
20,21,global,2016-01-21,95.97,79.86,118.77,94.48
21,22,global,2016-01-22,150.32,106.54,0.0,160.14
22,23,global,2016-01-23,140.44,136.44,118.37,141.88
23,24,global,2016-01-24,65.83,73.35,0.0,70.14
24,25,global,2016-01-25,89.56,129.4,0.0,95.41
25,26,global,2016-01-26,90.6,40.52,105.46,89.63
26,27,global,2016-01-27,97.22,61.9,0.0,103.58
27,28,global,2016-01-28,70.04,97.05,0.0,74.62
28,29,global,2016-01-29,82.14,77.14,0.0,87.51
29,30,global,2016-01-30,69.45,40.77,0.0,73.99
30,31,global,2016-01-31,48.68,38.09,49.57,48.62
31,32,global,2016-02-01,109.52,98.9,0.0,116.68
32,33,global,2016-02-02,72.45,88.75,0.0,77.18
33,34,global,2016-02-03,110.77,152.57,288.8,99.13
34,35,global,2016-02-04,59.1,63.07,65.66,58.67
35,36,global,2016-02-05,84.81,96.54,62.82,86.25
36,37,global,2016-02-06,125.63,131.09,0.0,133.84
37,38,global,2016-02-07,71.77,109.3,47.41,73.36
38,39,global,2016-02-08,92.85,83.05,0.0,98.92
39,40,global,2016-02-09,107.65,81.53,169.76,103.59
40,41,global,2016-02-10,124.58,106.36,158.18,122.38
41,42,global,2016-02-11,95.34,95.51,0.0,101.57
42,43,global,2016-02-12,98.87,123.8,0.0,105.34
43,44,global,2016-02-13,132.88,89.14,0.0,141.57
44,45,global,2016-02-14,77.17,81.53,94.31,76.05
45,46,global,2016-02-15,123.49,22.74,236.74,116.08
46,47,global,2016-02-16,95.45,93.37,0.0,101.69
47,48,global,2016-02-17,134.21,95.9,285.25,124.33
48,49,global,2016-02-18,116.95,95.51,186.43,112.41
49,50,global,2016-02-19,94.14,218.0,0.0,100.3
50,51,global,2016-02-20,118.65,136.44,236.74,110.93
51,52,global,2016-02-21,68.2,61.42,45.67,69.67
52,53,global,2016-02-22,94.64,77.29,0.0,100.83
53,54,global,2016-02-23,97.68,108.83,269.77,86.42
54,55,global,2016-02-24,103.88,71.73,74.68,105.79
55,56,global,2016-02-25,79.67,48.27,125.63,76.66
56,57,global,2016-02-26,78.52,73.74,63.97,79.47
57,58,global,2016-02-27,68.01,63.87,221.66,57.97
58,59,global,2016-02-28,60.61,99.38,47.03,61.49
59,60,global,2016-02-29,90.73,65.54,0.0,96.66
60,61,global,2016-03-01,106.96,148.2,85.71,108.35
61,62,global,2016-03-02,104.5,76.67,79.82,106.11
62,63,global,2016-03-03,80.59,113.53,262.64,68.69
63,64,global,2016-03-04,89.34,93.22,138.65,86.12
64,65,global,2016-03-05,68.96,104.46,0.0,73.47
65,66,global,2016-03-06,52.93,51.43,0.0,56.4
66,67,global,2016-03-07,98.99,138.46,0.0,105.46
67,68,global,2016-03-08,115.72,98.8,200.0,110.21
68,69,global,2016-03-09,104.69,126.41,97.48,105.16
69,70,global,2016-03-10,87.12,81.82,60.84,88.84
70,71,global,2016-03-11,76.37,64.04,66.67,77.0
71,72,global,2016-03-12,113.25,86.82,0.0,120.66
72,73,global,2016-03-13,68.82,70.69,52.57,69.88
73,74,global,2016-03-14,70.41,146.93,0.0,75.01
74,75,global,2016-03-15,124.58,150.42,174.0,121.35
75,76,global,2016-03-16,92.13,131.09,0.0,98.15
76,77,global,2016-03-17,85.07,52.56,164.15,79.9
77,78,global,2016-03-18,88.64,76.84,66.67,90.08
78,79,global,2016-03-19,104.96,64.28,0.0,111.82
79,80,global,2016-03-20,69.6,84.04,0.0,74.15
80,81,global,2016-03-21,127.44,123.8,107.41,128.74
81,82,global,2016-03-22,130.22,65.22,84.88,133.19
82,83,global,2016-03-23,255.32,282.09,97.89,265.61
83,84,global,2016-03-24,140.25,121.76,0.0,149.42
84,85,global,2016-03-25,131.49,149.67,0.0,140.08
85,86,global,2016-03-26,203.39,214.89,124.29,208.57
86,87,global,2016-03-27,114.41,59.69,155.36,111.73
87,88,global,2016-03-28,130.66,148.1,0.0,139.2
88,89,global,2016-03-29,130.57,151.18,0.0,139.11
89,90,global,2016-03-30,130.46,151.25,78.73,133.84
90,91,global,2016-03-31,111.54,141.24,122.54,110.83
91,92,global,2016-04-01,112.4,150.8,65.41,115.47
92,93,global,2016-04-02,97.88,146.24,0.0,104.28
93,94,global,2016-04-03,89.69,124.13,0.0,95.56
94,95,global,2016-04-04,88.46,98.9,102.96,87.51
95,96,global,2016-04-05,115.26,143.26,82.86,117.37
96,97,global,2016-04-06,97.88,97.5,72.5,99.54
97,98,global,2016-04-07,49.78,58.44,81.12,47.73
98,99,global,2016-04-08,71.46,63.31,65.91,71.82
99,100,global,2016-04-09,93.67,87.97,114.47,92.31
100,101,global,2016-04-10,79.76,74.91,48.74,81.79
101,102,global,2016-04-11,85.69,20.63,0.0,91.29
102,103,global,2016-04-12,79.87,130.45,84.88,79.54
103,104,global,2016-04-13,125.9,131.37,101.31,127.51
104,105,global,2016-04-14,79.24,94.49,61.48,80.4
105,106,global,2016-04-15,94.07,107.44,62.14,96.16
106,107,global,2016-04-16,99.66,111.42,0.0,106.18
107,108,global,2016-04-17,67.12,57.3,149.14,61.76
108,109,global,2016-04-18,101.7,143.26,497.15,75.84
109,110,global,2016-04-19,128.59,140.01,182.2,125.08
110,111,global,2016-04-20,74.61,72.99,75.98,74.52
111,112,global,2016-04-21,77.32,137.72,130.34,73.85
112,113,global,2016-04-22,73.93,77.14,66.92,74.38
113,114,global,2016-04-23,93.28,69.16,120.0,91.53
114,115,global,2016-04-24,63.12,106.89,50.58,63.94
115,116,global,2016-04-25,112.52,129.4,0.0,119.88
116,117,global,2016-04-26,107.49,99.29,86.14,108.88
117,118,global,2016-04-27,86.54,76.67,239.45,76.54
118,119,global,2016-04-28,61.28,97.96,0.0,65.29
119,120,global,2016-04-29,90.24,82.39,122.54,88.13
120,121,global,2016-04-30,67.16,84.09,109.43,64.39
121,122,global,2016-05-01,60.5,75.76,49.29,61.23
122,123,global,2016-05-02,77.58,149.99,111.54,75.36
123,124,global,2016-05-03,85.35,68.22,266.33,73.52
124,125,global,2016-05-04,114.97,207.07,0.0,122.49
125,126,global,2016-05-05,74.27,78.96,137.01,70.17
126,127,global,2016-05-06,76.1,80.69,60.0,77.15
127,128,global,2016-05-07,103.82,69.64,362.5,86.9
128,129,global,2016-05-08,53.23,29.41,102.05,50.04
129,130,global,2016-05-09,116.32,109.24,113.73,116.49
130,131,global,2016-05-10,88.98,50.14,0.0,94.8
131,132,global,2016-05-11,75.11,76.67,0.0,80.02
132,133,global,2016-05-12,69.52,91.4,67.97,69.62
133,134,global,2016-05-13,80.56,123.8,0.0,85.83
