id,region,ticker,date,Adj Close,price_usd,high_usd,low_usd,open_usd
1,egypt,egx30,2016-01-01,,,,,
2,egypt,egx30,2016-01-02,,,,,
3,egypt,egx30,2016-01-03,,,,,
4,egypt,egx30,2016-01-04,,,,,
5,egypt,egx30,2016-01-05,,,,,
6,egypt,egx30,2016-01-06,,,,,
7,egypt,egx30,2016-01-07,,,,,
8,egypt,egx30,2016-01-08,,,,,
9,egypt,egx30,2016-01-09,,,,,
10,egypt,egx30,2016-01-10,,,,,
11,egypt,egx30,2016-01-11,,,,,
12,egypt,egx30,2016-01-12,,,,,
13,egypt,egx30,2016-01-13,,,,,
14,egypt,egx30,2016-01-14,,,,,
15,egypt,egx30,2016-01-15,,,,,
16,egypt,egx30,2016-01-16,,,,,
17,egypt,egx30,2016-01-17,,,,,
18,egypt,egx30,2016-01-18,,,,,
19,egypt,egx30,2016-01-19,,,,,
20,egypt,egx30,2016-01-20,,,,,
21,egypt,egx30,2016-01-21,,,,,
22,egypt,egx30,2016-01-22,,,,,
23,egypt,egx30,2016-01-23,,,,,
24,egypt,egx30,2016-01-24,,,,,
25,egypt,egx30,2016-01-25,,,,,
26,egypt,egx30,2016-01-26,,,,,
27,egypt,egx30,2016-01-27,,,,,
28,egypt,egx30,2016-01-28,,,,,
29,egypt,egx30,2016-01-29,,,,,
30,egypt,egx30,2016-01-30,,,,,
31,egypt,egx30,2016-01-31,,,,,
32,egypt,egx30,2016-02-01,,,,,
33,egypt,egx30,2016-02-02,,,,,
34,egypt,egx30,2016-02-03,,,,,
35,egypt,egx30,2016-02-04,,,,,
36,egypt,egx30,2016-02-05,,,,,
37,egypt,egx30,2016-02-06,,,,,
38,egypt,egx30,2016-02-07,,,,,
39,egypt,egx30,2016-02-08,,,,,
40,egypt,egx30,2016-02-09,,,,,
41,egypt,egx30,2016-02-10,,,,,
42,egypt,egx30,2016-02-11,,,,,
43,egypt,egx30,2016-02-12,,,,,
44,egypt,egx30,2016-02-13,,,,,
45,egypt,egx30,2016-02-14,,,,,
46,egypt,egx30,2016-02-15,,,,,
47,egypt,egx30,2016-02-16,,,,,
48,egypt,egx30,2016-02-17,,,,,
49,egypt,egx30,2016-02-18,,,,,
50,egypt,egx30,2016-02-19,,,,,
51,egypt,egx30,2016-02-20,,,,,
52,egypt,egx30,2016-02-21,,,,,
53,egypt,egx30,2016-02-22,,,,,
54,egypt,egx30,2016-02-23,,,,,
55,egypt,egx30,2016-02-24,,,,,
56,egypt,egx30,2016-02-25,,,,,
57,egypt,egx30,2016-02-26,,,,,
58,egypt,egx30,2016-02-27,,,,,
59,egypt,egx30,2016-02-28,,,,,
60,egypt,egx30,2016-02-29,,,,,
61,egypt,egx30,2016-03-01,,,,,
62,egypt,egx30,2016-03-02,,,,,
63,egypt,egx30,2016-03-03,,,,,
64,egypt,egx30,2016-03-04,,,,,
65,egypt,egx30,2016-03-05,,,,,
66,egypt,egx30,2016-03-06,,,,,
67,egypt,egx30,2016-03-07,,,,,
68,egypt,egx30,2016-03-08,,,,,
69,egypt,egx30,2016-03-09,,,,,
70,egypt,egx30,2016-03-10,,,,,
71,egypt,egx30,2016-03-11,,,,,
72,egypt,egx30,2016-03-12,,,,,
73,egypt,egx30,2016-03-13,,,,,
74,egypt,egx30,2016-03-14,,,,,
75,egypt,egx30,2016-03-15,,,,,
76,egypt,egx30,2016-03-16,,,,,
77,egypt,egx30,2016-03-17,,,,,
78,egypt,egx30,2016-03-18,,,,,
79,egypt,egx30,2016-03-19,,,,,
80,egypt,egx30,2016-03-20,,,,,
81,egypt,egx30,2016-03-21,,,,,
82,egypt,egx30,2016-03-22,,,,,
83,egypt,egx30,2016-03-23,,,,,
84,egypt,egx30,2016-03-24,,,,,
85,egypt,egx30,2016-03-25,,,,,
86,egypt,egx30,2016-03-26,,,,,
87,egypt,egx30,2016-03-27,,,,,
88,egypt,egx30,2016-03-28,,,,,
89,egypt,egx30,2016-03-29,,,,,
90,egypt,egx30,2016-03-30,,,,,
91,egypt,egx30,2016-03-31,,,,,
92,egypt,egx30,2016-04-01,,,,,
93,egypt,egx30,2016-04-02,,,,,
94,egypt,egx30,2016-04-03,,,,,
95,egypt,egx30,2016-04-04,,,,,
96,egypt,egx30,2016-04-05,,,,,
97,egypt,egx30,2016-04-06,,,,,
98,egypt,egx30,2016-04-07,,,,,
99,egypt,egx30,2016-04-08,,,,,
100,egypt,egx30,2016-04-09,,,,,
101,egypt,egx30,2016-04-10,,,,,
102,egypt,egx30,2016-04-11,,,,,
103,egypt,egx30,2016-04-12,,,,,
104,egypt,egx30,2016-04-13,,,,,
105,egypt,egx30,2016-04-14,,,,,
106,egypt,egx30,2016-04-15,,,,,
107,egypt,egx30,2016-04-16,,,,,
108,egypt,egx30,2016-04-17,,,,,
109,egypt,egx30,2016-04-18,,,,,
110,egypt,egx30,2016-04-19,,,,,
111,egypt,egx30,2016-04-20,,,,,
112,egypt,egx30,2016-04-21,,,,,
113,egypt,egx30,2016-04-22,,,,,
114,egypt,egx30,2016-04-23,,,,,
115,egypt,egx30,2016-04-24,,,,,
116,egypt,egx30,2016-04-25,,,,,
117,egypt,egx30,2016-04-26,,,,,
118,egypt,egx30,2016-04-27,,,,,
119,egypt,egx30,2016-04-28,,,,,
120,egypt,egx30,2016-04-29,,,,,
121,egypt,egx30,2016-04-30,,,,,
122,egypt,egx30,2016-05-01,,,,,
123,egypt,egx30,2016-05-02,,,,,
124,egypt,egx30,2016-05-03,,,,,
125,egypt,egx30,2016-05-04,,,,,
126,egypt,egx30,2016-05-05,,,,,
127,egypt,egx30,2016-05-06,,,,,
128,egypt,egx30,2016-05-07,,,,,
129,egypt,egx30,2016-05-08,,,,,
130,egypt,egx30,2016-05-09,,,,,
131,egypt,egx30,2016-05-10,,,,,
132,egypt,egx30,2016-05-11,,,,,
133,egypt,egx30,2016-05-12,,,,,
134,egypt,egx30,2016-05-13,,,,,
135,egypt,egx30,2016-05-14,,,,,
136,egypt,egx30,2016-05-15,,,,,
137,egypt,egx30,2016-05-16,,,,,
138,egypt,egx30,2016-05-17,,,,,
139,egypt,egx30,2016-05-18,,,,,
140,egypt,egx30,2016-05-19,,,,,
141,egypt,egx30,2016-05-20,,,,,
142,egypt,egx30,2016-05-21,,,,,
143,egypt,egx30,2016-05-22,,,,,
144,egypt,egx30,2016-05-23,,,,,
145,egypt,egx30,2016-05-24,,,,,
146,egypt,egx30,2016-05-25,,,,,
147,egypt,egx30,2016-05-26,,,,,
148,egypt,egx30,2016-05-27,,,,,
149,egypt,egx30,2016-05-28,,,,,
150,egypt,egx30,2016-05-29,,,,,
151,egypt,egx30,2016-05-30,,,,,
152,egypt,egx30,2016-05-31,,,,,
153,egypt,egx30,2016-06-01,,,,,
154,egypt,egx30,2016-06-02,,,,,
155,egypt,egx30,2016-06-03,,,,,
156,egypt,egx30,2016-06-04,,,,,
157,egypt,egx30,2016-06-05,,,,,
158,egypt,egx30,2016-06-06,,,,,
159,egypt,egx30,2016-06-07,,,,,
160,egypt,egx30,2016-06-08,,,,,
161,egypt,egx30,2016-06-09,,,,,
162,egypt,egx30,2016-06-10,,,,,
163,egypt,egx30,2016-06-11,,,,,
164,egypt,egx30,2016-06-12,,,,,
165,egypt,egx30,2016-06-13,,,,,
166,egypt,egx30,2016-06-14,,,,,
167,egypt,egx30,2016-06-15,,,,,
168,egypt,egx30,2016-06-16,,,,,
169,egypt,egx30,2016-06-17,,,,,
170,egypt,egx30,2016-06-18,,,,,
171,egypt,egx30,2016-06-19,,,,,
172,egypt,egx30,2016-06-20,,,,,
173,egypt,egx30,2016-06-21,,,,,
174,egypt,egx30,2016-06-22,,,,,
175,egypt,egx30,2016-06-23,,,,,
176,egypt,egx30,2016-06-24,,,,,
177,egypt,egx30,2016-06-25,,,,,
178,egypt,egx30,2016-06-26,,,,,
179,egypt,egx30,2016-06-27,,,,,
180,egypt,egx30,2016-06-28,,,,,
181,egypt,egx30,2016-06-29,,,,,
182,egypt,egx30,2016-06-30,,,,,
183,egypt,egx30,2016-07-01,,,,,
184,egypt,egx30,2016-07-02,,,,,
185,egypt,egx30,2016-07-03,,,,,
186,egypt,egx30,2016-07-04,,,,,
187,egypt,egx30,2016-07-05,,,,,
188,egypt,egx30,2016-07-06,,,,,
189,egypt,egx30,2016-07-07,,,,,
190,egypt,egx30,2016-07-08,,,,,
191,egypt,egx30,2016-07-09,,,,,
192,egypt,egx30,2016-07-10,,,,,
193,egypt,egx30,2016-07-11,,,,,
194,egypt,egx30,2016-07-12,,,,,
195,egypt,egx30,2016-07-13,,,,,
196,egypt,egx30,2016-07-14,,,,,
197,egypt,egx30,2016-07-15,,,,,
198,egypt,egx30,2016-07-16,,,,,
199,egypt,egx30,2016-07-17,,,,,
200,egypt,egx30,2016-07-18,,,,,
201,egypt,egx30,2016-07-19,,,,,
202,egypt,egx30,2016-07-20,,,,,
203,egypt,egx30,2016-07-21,,,,,
204,egypt,egx30,2016-07-22,,,,,
205,egypt,egx30,2016-07-23,,,,,
206,egypt,egx30,2016-07-24,,,,,
207,egypt,egx30,2016-07-25,,,,,
208,egypt,egx30,2016-07-26,,,,,
209,egypt,egx30,2016-07-27,,,,,
210,egypt,egx30,2016-07-28,,,,,
211,egypt,egx30,2016-07-29,,,,,
212,egypt,egx30,2016-07-30,,,,,
213,egypt,egx30,2016-07-31,,,,,
214,egypt,egx30,2016-08-01,,,,,
215,egypt,egx30,2016-08-02,,,,,
216,egypt,egx30,2016-08-03,,,,,
217,egypt,egx30,2016-08-04,,,,,
218,egypt,egx30,2016-08-05,,,,,
219,egypt,egx30,2016-08-06,,,,,
220,egypt,egx30,2016-08-07,,,,,
221,egypt,egx30,2016-08-08,,,,,
222,egypt,egx30,2016-08-09,,,,,
223,egypt,egx30,2016-08-10,,,,,
224,egypt,egx30,2016-08-11,,,,,
225,egypt,egx30,2016-08-12,,,,,
226,egypt,egx30,2016-08-13,,,,,
227,egypt,egx30,2016-08-14,,,,,
228,egypt,egx30,2016-08-15,,,,,
229,egypt,egx30,2016-08-16,,,,,
230,egypt,egx30,2016-08-17,,,,,
231,egypt,egx30,2016-08-18,,,,,
232,egypt,egx30,2016-08-19,,,,,
233,egypt,egx30,2016-08-20,,,,,
