id,region,ticker,date,price_usd,high_usd,low_usd,open_usd
1,usa,dowjones,2016-01-01,17148.939453125,17405.48046875,16957.630859375,17405.48046875
2,usa,dowjones,2016-01-02,17148.939453125,17405.48046875,16957.630859375,17405.48046875
3,usa,dowjones,2016-01-03,17148.939453125,17405.48046875,16957.630859375,17405.48046875
4,usa,dowjones,2016-01-04,17148.939453125,17405.48046875,16957.630859375,17405.48046875
5,usa,dowjones,2016-01-05,17158.66015625,17195.83984375,17038.609375,17147.5
6,usa,dowjones,2016-01-06,16906.509765625,17154.830078125,16817.619140625,17154.830078125
7,usa,dowjones,2016-01-07,16514.099609375,16888.359375,16463.630859375,16888.359375
8,usa,dowjones,2016-01-08,16346.4501953125,16651.890625,16314.5703125,16519.169921875
9,usa,dowjones,2016-01-09,16398.5703125,16461.849609375,16232.0302734375,16358.7099609375
10,usa,dowjones,2016-01-10,16398.5703125,16461.849609375,16232.0302734375,16358.7099609375
11,usa,dowjones,2016-01-11,16398.5703125,16461.849609375,16232.0302734375,16358.7099609375
12,usa,dowjones,2016-01-12,16516.220703125,16591.349609375,16322.0703125,16419.109375
13,usa,dowjones,2016-01-13,16151.41015625,16593.509765625,16123.2001953125,16526.630859375
14,usa,dowjones,2016-01-14,16379.0498046875,16482.05078125,16075.1201171875,16159.009765625
15,usa,dowjones,2016-01-15,15988.080078125,16354.330078125,15842.1103515625,16354.330078125
16,usa,dowjones,2016-01-16,16016.01953125,16171.9599609375,15900.25,16009.4501953125
17,usa,dowjones,2016-01-17,16016.01953125,16171.9599609375,15900.25,16009.4501953125
18,usa,dowjones,2016-01-18,16016.01953125,16171.9599609375,15900.25,16009.4501953125
19,usa,dowjones,2016-01-19,16016.01953125,16171.9599609375,15900.25,16009.4501953125
20,usa,dowjones,2016-01-20,15766.740234375,15989.4501953125,15450.5595703125,15989.4501953125
21,usa,dowjones,2016-01-21,15882.6796875,16038.58984375,15704.66015625,15768.8701171875
22,usa,dowjones,2016-01-22,16093.509765625,16136.7900390625,15921.099609375,15921.099609375
23,usa,dowjones,2016-01-23,15885.2197265625,16086.4599609375,15880.150390625,16086.4599609375
24,usa,dowjones,2016-01-24,15885.2197265625,16086.4599609375,15880.150390625,16086.4599609375
25,usa,dowjones,2016-01-25,15885.2197265625,16086.4599609375,15880.150390625,16086.4599609375
26,usa,dowjones,2016-01-26,16167.23046875,16185.7900390625,15893.16015625,15893.16015625
27,usa,dowjones,2016-01-27,15944.4599609375,16235.0302734375,15878.2998046875,16168.740234375
28,usa,dowjones,2016-01-28,16069.6396484375,16102.1396484375,15863.7197265625,15960.2802734375
29,usa,dowjones,2016-01-29,16466.30078125,16466.30078125,16090.259765625,16090.259765625
30,usa,dowjones,2016-01-30,16449.1796875,16510.98046875,16299.4697265625,16453.630859375
31,usa,dowjones,2016-01-31,16449.1796875,16510.98046875,16299.4697265625,16453.630859375
32,usa,dowjones,2016-02-01,16449.1796875,16510.98046875,16299.4697265625,16453.630859375
33,usa,dowjones,2016-02-02,16153.5400390625,16420.2109375,16108.4404296875,16420.2109375
34,usa,dowjones,2016-02-03,16336.66015625,16381.6904296875,15960.4501953125,16186.2001953125
35,usa,dowjones,2016-02-04,16416.580078125,16485.83984375,16266.16015625,16329.669921875
36,usa,dowjones,2016-02-05,16204.9697265625,16423.630859375,16129.8095703125,16417.94921875
37,usa,dowjones,2016-02-06,16027.0498046875,16147.509765625,15803.5498046875,16147.509765625
38,usa,dowjones,2016-02-07,16027.0498046875,16147.509765625,15803.5498046875,16147.509765625
39,usa,dowjones,2016-02-08,16027.0498046875,16147.509765625,15803.5498046875,16147.509765625
40,usa,dowjones,2016-02-09,16014.3798828125,16136.6201171875,15881.1103515625,16005.41015625
41,usa,dowjones,2016-02-10,15914.740234375,16201.8896484375,15899.91015625,16035.6103515625
42,usa,dowjones,2016-02-11,15660.1796875,15897.8203125,15503.009765625,15897.8203125
43,usa,dowjones,2016-02-12,15973.83984375,15974.0400390625,15691.6201171875,15691.6201171875
44,usa,dowjones,2016-02-13,16196.41015625,16196.41015625,16012.3896484375,16012.3896484375
45,usa,dowjones,2016-02-14,16196.41015625,16196.41015625,16012.3896484375,16012.3896484375
46,usa,dowjones,2016-02-15,16196.41015625,16196.41015625,16012.3896484375,16012.3896484375
47,usa,dowjones,2016-02-16,16196.41015625,16196.41015625,16012.3896484375,16012.3896484375
48,usa,dowjones,2016-02-17,16453.830078125,16486.119140625,16217.98046875,16217.98046875
49,usa,dowjones,2016-02-18,16413.4296875,16511.83984375,16390.4296875,16483.759765625
50,usa,dowjones,2016-02-19,16391.990234375,16410.9609375,16278.0,16410.9609375
51,usa,dowjones,2016-02-20,16620.66015625,16664.240234375,16417.130859375,16417.130859375
52,usa,dowjones,2016-02-21,16620.66015625,16664.240234375,16417.130859375,16417.130859375
53,usa,dowjones,2016-02-22,16620.66015625,16664.240234375,16417.130859375,16417.130859375
54,usa,dowjones,2016-02-23,16431.779296875,16610.390625,16403.529296875,16610.390625
55,usa,dowjones,2016-02-24,16484.990234375,16507.390625,16165.8603515625,16418.83984375
56,usa,dowjones,2016-02-25,16697.2890625,16697.98046875,16458.419921875,16504.380859375
57,usa,dowjones,2016-02-26,16639.970703125,16795.98046875,16623.91015625,16712.69921875
58,usa,dowjones,2016-02-27,16516.5,16726.119140625,16510.400390625,16634.150390625
59,usa,dowjones,2016-02-28,16516.5,16726.119140625,16510.400390625,16634.150390625
60,usa,dowjones,2016-02-29,16516.5,16726.119140625,16510.400390625,16634.150390625
61,usa,dowjones,2016-03-01,16865.080078125,16865.560546875,16545.669921875,16545.669921875
62,usa,dowjones,2016-03-02,16899.3203125,16900.169921875,16766.3203125,16851.169921875
63,usa,dowjones,2016-03-03,16943.900390625,16944.310546875,16820.73046875,16896.169921875
64,usa,dowjones,2016-03-04,17006.76953125,17062.380859375,16898.83984375,16945.0
65,usa,dowjones,2016-03-05,17073.94921875,17099.25,16940.48046875,16991.2890625
66,usa,dowjones,2016-03-06,17073.94921875,17099.25,16940.48046875,16991.2890625
67,usa,dowjones,2016-03-07,17073.94921875,17099.25,16940.48046875,16991.2890625
68,usa,dowjones,2016-03-08,16964.099609375,17072.7890625,16921.509765625,17050.669921875
69,usa,dowjones,2016-03-09,17000.359375,17048.5,16947.939453125,16969.169921875
70,usa,dowjones,2016-03-10,16995.130859375,17130.109375,16821.859375,17006.05078125
71,usa,dowjones,2016-03-11,17213.310546875,17220.08984375,17014.990234375,17014.990234375
72,usa,dowjones,2016-03-12,17229.130859375,17275.0703125,17161.16015625,17207.490234375
73,usa,dowjones,2016-03-13,17229.130859375,17275.0703125,17161.16015625,17207.490234375
74,usa,dowjones,2016-03-14,17229.130859375,17275.0703125,17161.16015625,17207.490234375
75,usa,dowjones,2016-03-15,17251.529296875,17251.69921875,17120.349609375,17217.150390625
