"Inflation rate, average consumer prices (Annual percent change)",Egypt
1980,20.5
1981,10.4
1982,14.9
1983,16
1984,17.1
1985,12.1
1986,23.9
1987,25.2
1988,15.2
1989,20.1
1990,21.2
1991,14.7
1992,21.1
1993,11
1994,9
1995,9.4
1996,7.1
1997,6.2
1998,5
1999,3.7
2000,2.8
2001,2.4
2002,2.3
2003,3.4
2004,8.2
2005,8.7
2006,4.3
2007,10.9
2008,11.7
2009,16.2
2010,11.7
2011,11.1
2012,8.7
2013,6.9
2014,10.1
2015,11
2016,10.2
2017,23.5
2018,20.9
2019,13.9
2020,5.7
2021,4.5
2022,8.5
2023,24.4
2024,33.3
2025,20.4
2026,11.8
2027,9.6
2028,6.7
2029,5.5
2030,5.3
