Date,Value
2/26/1971,823.05
3/31/1971,858.5
4/30/1971,907.51
5/28/1971,870.44
6/30/1971,860.42
7/30/1971,838.16
8/31/1971,861.13
9/30/1971,865.97
10/29/1971,832.72
11/30/1971,823.76
12/31/1971,899.78
1/31/1972,937.23
2/29/1972,983.77
3/30/1972,1003
4/28/1972,1025.49
5/31/1972,1032.38
6/30/1972,1010.86
7/31/1972,988.02
8/31/1972,1002.64
9/29/1972,997.64
10/31/1972,997.75
11/30/1972,1016.18
12/29/1972,1019.66
1/31/1973,976.73
2/28/1973,909.54
3/30/1973,879.06
4/30/1973,801.59
5/31/1973,757.65
6/29/1973,740.34
7/31/1973,794.7
8/31/1973,753.52
9/28/1973,797.23
10/31/1973,782.92
11/30/1973,660.18
12/31/1973,646.64
1/31/1974,660.14
2/28/1974,647.76
3/29/1974,625.53
4/30/1974,586.4
5/31/1974,534.76
6/28/1974,502.35
7/31/1974,459.12
8/30/1974,404.22
9/30/1974,356.52
10/31/1974,413.66
11/29/1974,396.1
12/31/1974,373.51
1/31/1975,434.02
2/28/1975,450.59
3/31/1975,465.24
4/30/1975,481.12
5/30/1975,506.18
6/30/1975,526.1
7/31/1975,497.38
8/29/1975,471.52
9/30/1975,441.15
10/31/1975,454.44
11/28/1975,461.76
12/31/1975,453.21
1/30/1976,507.35
2/27/1976,524.18
3/31/1976,525.33
4/30/1976,520.33
5/28/1976,504.95
6/30/1976,515.29
7/30/1976,518.09
8/31/1976,506.4
9/30/1976,513.42
10/29/1976,505.67
11/30/1976,509.1
12/31/1976,544.99
1/31/1977,529.23
2/28/1977,518.54
3/31/1977,512.66
4/29/1977,515.68
5/31/1977,513.7
6/30/1977,532.42
7/29/1977,534.69
8/31/1977,530.03
9/30/1977,532.26
10/31/1977,513.02
11/30/1977,540
12/30/1977,548.18
1/31/1978,522.84
2/28/1978,522.76
3/31/1978,542.82
4/28/1978,584.11
5/31/1978,604.1
6/30/1978,597.91
7/31/1978,623.05
8/31/1978,662.89
9/29/1978,647.57
10/31/1978,536.65
11/30/1978,551.42
12/29/1978,564.73
1/31/1979,596.96
2/28/1979,574.76
3/30/1979,611.71
4/30/1979,614.23
5/31/1979,595.62
6/29/1979,619.11
7/31/1979,626.52
8/31/1979,660.58
9/28/1979,651.5
10/31/1979,584.03
11/30/1979,615.92
12/31/1979,638.56
1/31/1980,673.72
2/29/1980,649.05
3/31/1980,529.98
4/30/1980,560.05
5/30/1980,596.01
6/30/1980,618.25
7/31/1980,673.23
8/29/1980,706.15
9/30/1980,724.34
10/31/1980,736.69
11/28/1980,788.91
12/31/1980,759.78
1/30/1981,736.79
2/27/1981,729.99
3/31/1981,769.6
4/30/1981,788.28
5/29/1981,806.42
6/30/1981,771.68
7/31/1981,748.69
8/31/1981,687.25
9/30/1981,625.96
10/30/1981,677.39
11/30/1981,696.42
12/31/1981,675.14
1/29/1982,647.39
2/26/1982,614.64
3/31/1982,602.33
4/30/1982,630.69
5/28/1982,603.93
6/30/1982,572.27
7/30/1982,556.21
8/31/1982,589.43
9/30/1982,621.13
10/29/1982,701.67
11/30/1982,768.17
12/31/1982,771.65
1/31/1983,822.89
2/28/1983,862.83
3/31/1983,896.36
4/29/1983,963.16
5/31/1983,1008.52
6/30/1983,1037.95
7/29/1983,985.98
8/31/1983,945.71
