Date,US_S&P500,US_DowJones,US_NASDAQ,Europe_EuroStoxx50,UK_FTSE100,Japan_Nikkei225,HongKong_HangSeng,Egypt_EGX30
1/2/2015,2058.199951171875,17832.99023,4726.810059,,6547.799805,,23721.30078,
1/5/2015,2020.5799560546875,17501.65039,4652.569824,3023.139892578125,6417.200195,17408.71094,23721.32031,
1/6/2015,2002.6099853515625,17371.64063,4592.740234,,6366.5,16883.18945,23485.41016,
1/7/2015,2025.9000244140625,17584.51953,4650.470215,3026.790039,6419.799805,16885.33008,23681.25977,
1/8/2015,2062.139892578125,17907.86914,4736.189941,3135.080078,6570,17167.09961,23835.5293,
1/9/2015,2044.810059,17737.36914,4704.069824,3042.899902,6501.100098,17197.73047,23919.94922,
1/12/2015,2028.260009765625,17640.83984,4664.709961,3084.179931640625,6501.399902,,24026.46094,
1/13/2015,2023.030029296875,17613.67969,4661.5,3133.860107421875,6542.200195,17087.71094,24215.9707,
1/14/2015,2011.27002,17427.08984,4639.319824,3089.669922,6388.5,16795.96094,24112.59961,
1/15/2015,1992.6700439453125,17320.71094,4570.819824,3157.360107421875,6498.799805,17108.69922,24350.91016,
1/16/2015,2019.4200439453125,17511.57031,4634.379883,3202.239990234375,6550.299805,16864.16016,24103.51953,
1/19/2015,,,,3220.899902,6585.5,17014.28906,23738.49023,
1/20/2015,2022.550048828125,17515.23047,4654.850098,3244.919922,6620.100098,17366.30078,23951.16016,
1/21/2015,2032.1199951171875,17554.2793,4667.419922,3269.72998,6728,17280.48047,24352.58008,
1/22/2015,2063.149902,17813.98047,4750.399902,3322.649902,6796.600098,17329.01953,24522.63086,
1/23/2015,2051.820068359375,17672.59961,4757.879883,3382.550048828125,6832.799805,17511.75,24850.44922,
1/26/2015,2057.090087890625,17678.69922,4771.759766,3414.280029296875,6852.399902,17468.51953,24909.90039,
1/27/2015,2029.550048828125,17387.21094,4681.5,3372.580078,6811.600098,17768.30078,24807.2793,
1/28/2015,2002.1600341796875,17191.36914,4637.990234,3358.959961,6825.899902,17795.73047,24861.81055,
1/29/2015,2021.25,17416.84961,4683.410156,3371.830078,6810.600098,17606.2207,24595.84961,
1/30/2015,1994.989990234375,17164.94922,4635.240234,3351.439941,6749.399902,17674.39063,24507.05078,
2/2/2015,2020.8499755859375,17361.03906,4676.689941,3370.110107421875,6782.600098,17558.03906,24484.74023,
2/3/2015,2050.030029296875,17666.40039,4727.740234,3414.179931640625,6871.799805,17335.84961,24554.7793,
2/4/2015,2041.510009765625,17673.01953,4716.700195,3415.530029296875,6860,17678.74023,24679.75977,
2/5/2015,2062.52002,17884.88086,4765.100098,3408.959961,6865.899902,17504.61914,24765.49023,
2/6/2015,2055.469970703125,17824.28906,4744.399902,3398.159912109375,6853.399902,17648.5,24679.39063,
2/9/2015,2046.739990234375,17729.21094,4726.009766,3347.75,6837.200195,17711.92969,24521,
2/10/2015,2068.590087890625,17868.75977,4787.640137,3383.129883,6829.100098,17652.67969,24528.09961,
2/11/2015,2068.530029296875,17862.14063,4801.180176,3374.139892578125,6818.200195,,24315.01953,
2/12/2015,2088.47998,17972.38086,4857.609863,3417.610107421875,6828.100098,17979.7207,24422.15039,
2/13/2015,2096.989990234375,18019.34961,4893.839844,3447.590087890625,6873.5,17913.35938,24682.53906,
2/16/2015,,,,3433.300048828125,6857.100098,18004.76953,24726.5293,
2/17/2015,2100.340087890625,18047.58008,4899.27002,3438.439941,6898.100098,17987.08984,24784.88086,
2/18/2015,2099.679931640625,18029.84961,4906.359863,3465.800048828125,6898.100098,18199.16992,24832.08008,
2/19/2015,2097.449951171875,17985.76953,4924.700195,3488.080078,6888.899902,18264.78906,,
2/20/2015,2110.300048828125,18140.43945,4955.970215,3490.530029296875,6915.200195,18332.30078,,
2/23/2015,2109.659912109375,18116.83984,4960.970215,3519.580078,6912.200195,18466.91992,24836.75977,
2/24/2015,2115.47998,18209.18945,4968.120117,3547.100098,6949.600098,18603.48047,24750.07031,
2/25/2015,2113.860107421875,18224.57031,4967.140137,3541.780029296875,6935.399902,18585.19922,24778.2793,
2/26/2015,2110.739990234375,18214.41992,4987.890137,3574.939941,6949.700195,18785.78906,24902.06055,
2/27/2015,2104.5,18132.69922,4963.529785,3599,6946.700195,18797.93945,24823.28906,
3/2/2015,2117.389892578125,18288.63086,5008.100098,3591.090087890625,6940.600098,18826.88086,24887.43945,
3/3/2015,2107.780029296875,18203.36914,4979.899902,3549.110107421875,6889.100098,18815.16016,24702.7793,
3/4/2015,2098.530029296875,18096.90039,4967.140137,3583.439941,6919.200195,18703.59961,24465.38086,
3/5/2015,2101.040039,18135.7207,4982.810059,3618.209961,6961.100098,18751.83984,24193.03906,
3/6/2015,2071.260009765625,17856.7793,4927.370117,3617.620117,6911.799805,18971,24164,
3/9/2015,2079.429931640625,17995.7207,4942.439941,3610.280029296875,6876.5,18790.55078,24123.05078,
3/10/2015,2044.1600341796875,17662.93945,4859.790039,3567.25,6702.799805,18665.10938,23896.98047,
3/11/2015,2040.239990234375,17635.39063,4849.939941,3649.540039,6721.5,18723.51953,23717.9707,
3/12/2015,2065.949951171875,17895.2207,4893.290039,3641.320068359375,6761.100098,18991.10938,23797.96094,
3/13/2015,2053.399902,17749.31055,4871.759766,3656.209961,6740.600098,19254.25,23823.21094,
3/16/2015,2081.189941,17977.41992,4929.509766,3706.75,6804.100098,19246.06055,23949.55078,
3/17/2015,2074.280029296875,17849.08008,4937.430176,3672.159912109375,6837.600098,19437,23901.49023,
3/18/2015,2099.5,18076.18945,4982.830078,3668.52002,6945.200195,19544.48047,24120.08008,
3/19/2015,2089.27002,17959.0293,4992.379883,3670.72998,6962.299805,19476.56055,24468.89063,
3/20/2015,2108.100098,18127.65039,5026.419922,3726.070068359375,7022.5,19560.2207,24375.24023,
3/23/2015,2104.419922,18116.03906,5010.970215,3699.040039,7037.700195,19754.35938,24494.50977,
3/24/2015,2091.5,18011.14063,4994.72998,3731.350098,7019.700195,19713.44922,24399.59961,
3/25/2015,2061.050048828125,17718.53906,4876.52002,3684.040039,6991,19746.19922,24528.23047,
3/26/2015,2056.149902,17678.23047,4863.359863,3669.790039,6895.299805,19471.11914,24497.08008,
3/27/2015,2061.02002,17712.66016,4891.220215,3679.030029296875,6855,19285.63086,24486.19922,
3/30/2015,2086.239990234375,17976.31055,4947.439941,3727.800048828125,6891.399902,19411.40039,24855.11914,
3/31/2015,2067.889892578125,17776.11914,4900.879883,3697.379883,6773,19206.99023,24900.89063,
4/1/2015,2059.689941,17698.17969,4880.22998,3714.889892578125,6809.5,19034.83984,25082.75,
4/2/2015,2066.959961,17763.24023,4886.939941,3715.27002,6833.5,19312.78906,25275.64063,
4/3/2015,,,,,,19435.08008,,
4/6/2015,2080.620117,17880.84961,4917.319824,,,19397.98047,,
4/7/2015,2076.330078,17875.41992,4910.22998,3768.719970703125,6961.799805,19640.53906,,
4/8/2015,2081.899902,17902.50977,4950.819824,3742.629883,6937.399902,19789.81055,26236.85938,
4/9/2015,2091.179931640625,17958.73047,4974.560059,3781.790039,7015.399902,19937.7207,26944.39063,
4/10/2015,2102.060059,18057.65039,4995.97998,3816.760009765625,7089.799805,19907.63086,27272.39063,
4/13/2015,2092.429931640625,17977.03906,4988.25,3828.780029296875,7064.299805,19905.46094,28016.33984,
4/14/2015,2095.840087890625,18036.69922,4977.290039,3784.530029296875,7075.299805,19908.67969,27561.49023,
4/15/2015,2106.629883,18112.60938,5011.02002,3803.550048828125,7096.799805,19869.75977,27618.82031,
4/16/2015,2104.989990234375,18105.76953,5007.790039,3751.719970703125,7060.5,19885.76953,27739.71094,
4/17/2015,2081.179931640625,17826.30078,4931.810059,3674.050048828125,6994.600098,19652.88086,27653.11914,
4/20/2015,2100.399902,18034.92969,4994.600098,3718.040039,7052.100098,19634.49023,27094.92969,
4/21/2015,2097.290039,17949.58984,5014.100098,3719.379883,7062.899902,19909.08984,27850.49023,
4/22/2015,2107.959961,18038.26953,5035.169922,3724.489990234375,7028.200195,20133.90039,27933.84961,
4/23/2015,2112.929931640625,18058.68945,5056.060059,3697.879883,7053.700195,20187.65039,27827.69922,
4/24/2015,2117.689941,18080.14063,5092.080078,3713.959961,7070.700195,20020.03906,28060.98047,
4/27/2015,2108.919922,18037.9707,5060.25,3771.449951171875,7104,19983.32031,28433.58984,
