Date,Price,Open,High,Low,Vol.,Change %
2/8/2026,"50,035.23","49,739.03","50,370.95","49,861.47",525.29M,0.60%
2/5/2026,"49,739.03","49,631.56","49,972.97","49,189.68",411.43M,0.22%
2/4/2026,"49,631.56","48,978.48","49,661.01","48,996.49",489.47M,1.33%
2/3/2026,"48,978.48","47,606.28","49,235.65","47,623.39",500.49M,2.88%
2/2/2026,"47,606.28","47,662.74","47,755.84","46,967.09",624.58M,-0.12%
2/1/2026,"47,662.74","47,785.93","47,724.10","47,132.87",411.17M,-0.26%
1/28/2026,"47,785.93","47,834.55","48,287.02","47,447.64",241.03M,-0.10%
1/27/2026,"47,834.55","47,507.43","47,928.60","47,519.37",228.82M,0.69%
1/26/2026,"47,507.43","46,857.73","47,507.43","46,853.36",345.85M,1.39%
1/25/2026,"46,857.73","46,462.32","47,141.20","46,536.52",276.99M,0.85%
1/22/2026,"46,462.32","46,048.69","46,820.40","46,068.06",308.81M,0.90%
1/21/2026,"46,048.69","45,905.16","46,131.82","45,627.41",421.04M,0.31%
1/20/2026,"45,905.16","45,048.44","46,149.85","45,188.44",362.88M,1.90%
1/19/2026,"45,048.44","43,952.52","45,048.44","43,955.97",225.40M,2.49%
1/18/2026,"43,952.52","43,346.87","44,152.38","43,391.43",150.09M,1.40%
1/15/2026,"43,346.87","43,058.34","44,144.88","43,005.66",155.76M,0.67%
1/14/2026,"43,058.34","43,684.22","43,687.45","42,518.13",246.65M,-1.43%
1/13/2026,"43,684.22","43,404.25","44,369.91","43,625.09",255.29M,0.65%
1/12/2026,"43,404.25","42,895.41","43,632.63","42,788.92",245.01M,1.19%
1/11/2026,"42,895.41","41,856.76","42,965.07","42,371.90",265.16M,2.48%
1/8/2026,"41,856.76","41,543.46","42,112.08","41,555.44",197.05M,0.75%
1/6/2026,"41,543.46","40,676.98","41,617.54","40,696.11",148.79M,2.13%
1/5/2026,"40,676.98","40,898.15","41,189.01","40,232.47",316.98M,-0.54%
1/4/2026,"40,898.15","41,828.97","42,007.44","40,898.15",196.77M,-2.23%
12/31/2025,"41,828.97","41,689.96","41,979.47","41,689.69",284.65M,0.33%
12/30/2025,"41,689.96","41,731.68","41,785.56","41,593.23",224.02M,-0.10%
12/29/2025,"41,731.68","41,604.74","41,732.27","41,549.83",187.55M,0.31%
12/28/2025,"41,604.74","41,253.02","41,668.50","41,264.66",174.23M,0.85%
12/25/2025,"41,253.02","41,508.31","41,540.77","41,178.18",245.56M,-0.62%
12/24/2025,"41,508.31","41,419.32","41,618.02","41,396.17",226.51M,0.21%
12/23/2025,"41,419.32","41,102.76","41,419.32","40,904.85",224.59M,0.77%
12/22/2025,"41,102.76","41,348.38","41,508.39","41,095.70",190.78M,-0.59%
12/21/2025,"41,348.38","40,926.86","41,365.43","40,941.46",225.06M,1.03%
12/18/2025,"40,926.86","41,504.03","41,760.85","40,926.86",322.28M,-1.39%
12/17/2025,"41,504.03","42,002.37","42,284.16","41,504.03",283.30M,-1.19%
12/16/2025,"42,002.37","42,305.36","42,511.09","41,979.82",246.93M,-0.72%
12/15/2025,"42,305.36","42,065.20","42,624.11","42,075.48",327.48M,0.57%
12/14/2025,"42,065.20","42,033.78","42,249.59","41,957.60",2.80B,0.07%
12/11/2025,"42,033.78","42,052.79","42,346.37","42,014.82",388.03M,-0.05%
12/10/2025,"42,052.79","41,940.62","42,091.42","41,963.75",321.85M,0.27%
12/9/2025,"41,940.62","41,963.24","41,992.68","41,751.57",379.88M,-0.05%
12/8/2025,"41,963.24","41,762.43","42,089.84","41,800.55",363.02M,0.48%
12/7/2025,"41,762.43","41,499.07","41,850.54","41,547.35",501.06M,0.63%
12/4/2025,"41,499.07","41,342.03","41,780.03","41,375.78",532.47M,0.38%
12/3/2025,"41,342.03","40,625.63","41,470.85","40,643.16",408.47M,1.76%
12/2/2025,"40,625.63","40,693.92","40,991.10","40,515.15",764.19M,-0.17%
12/1/2025,"40,693.92","40,753.45","41,010.96","40,536.09",773.91M,-0.15%
11/30/2025,"40,753.45","40,039.24","40,753.45","40,066.23",712.28M,1.78%
11/27/2025,"40,039.24","39,537.25","40,049.28","39,536.73",385.65M,1.27%
11/26/2025,"39,537.25","39,902.53","40,029.58","39,537.25",423.66M,-0.92%
11/25/2025,"39,902.53","39,725.26","40,284.34","39,782.17",676.47M,0.45%
11/24/2025,"39,725.26","40,445.66","40,572.28","39,725.26",735.20M,-1.78%
11/23/2025,"40,445.66","40,302.39","40,808.22","40,331.62",129.81M,0.36%
11/20/2025,"40,302.39","40,509.16","40,649.08","40,302.39",108.21M,-0.51%
11/19/2025,"40,509.16","40,501.28","40,581.82","40,311.79",111.84M,0.02%
11/18/2025,"40,501.28","41,065.75","41,141.21","40,501.28",133.58M,-1.37%
11/17/2025,"41,065.75","41,211.27","41,443.10","40,911.54",217.77M,-0.35%
11/16/2025,"41,211.27","40,190.62","41,342.05","40,207.22",181.09M,2.54%
11/13/2025,"40,190.62","40,228.76","40,500.96","40,129.78",162.25M,-0.09%
11/12/2025,"40,228.76","40,261.16","40,619.69","40,184.86",211.88M,-0.08%
11/11/2025,"40,261.16","40,427.35","40,613.89","40,261.16",200.38M,-0.41%
