Price,Open,High,Low,Close,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
Date,,,,,
1/2/2015,23699.19922,23998.90039,23655.5,23721.30078,1801700000.00
1/5/2015,23699.18945,23998.86914,23655.51953,23721.32031,2585200000.00
1/6/2015,23515.13086,23611,23312.5,23485.41016,2618000000.00
1/7/2015,23396.69922,23715.71094,23332.0293,23681.25977,2181100000.00
1/8/2015,23920.34961,23941.64063,23719.05078,23835.5293,2011600000.00
1/9/2015,24049.69922,24169.06055,23859.49023,23919.94922,2334800000.00
1/12/2015,24118.58984,24118.58984,23905.00977,24026.46094,1414600000.00
1/13/2015,23908.23047,24254.10938,23908.23047,24215.9707,1393200000.00
1/14/2015,24276.33008,24326.69922,24056.2207,24112.59961,1463000000.00
1/15/2015,24169.34961,24369,24070.39063,24350.91016,1754000000.00
1/16/2015,24196.84961,24253.08984,24086.21094,24103.51953,1716800000.00
1/19/2015,23971.23047,24049.55078,23590.05078,23738.49023,2945800000.00
1/20/2015,23798.46094,23997.31055,23747.91992,23951.16016,1632700000.00
1/21/2015,24036.41016,24373.2793,24016.63086,24352.58008,1843500000.00
1/22/2015,24480.01953,24589.61914,24438.98047,24522.63086,1679800000.00
1/23/2015,24807.35938,24896.2207,24726.76953,24850.44922,2375600000.00
1/26/2015,24907.18945,24916.49023,24761.55078,24909.90039,1321600000.00
1/27/2015,24995.08008,24995.08008,24672.75977,24807.2793,1705100000.00
1/28/2015,24799.98047,24983.89063,24716.67969,24861.81055,1361000000.00
1/29/2015,24645.19922,24739.2207,24524.17969,24595.84961,1864000000.00
1/30/2015,24771.36914,24771.36914,24450.05078,24507.05078,1438900000.00
2/2/2015,24347.26953,24506.81055,24324.36914,24484.74023,1576200000.00
2/3/2015,24542.49023,24602.59961,24327.50977,24554.7793,1552800000.00
2/4/2015,24750.75977,24824.58008,24642.5,24679.75977,1836300000.00
2/5/2015,25048.25977,25048.25977,24642.81055,24765.49023,2343800000.00
2/6/2015,24843.19922,24843.19922,24645.75977,24679.39063,1440500000.00
2/9/2015,24529.55078,24657.86914,24449.48047,24521,1285500000.00
2/10/2015,24475.03906,24583.78906,24422.84961,24528.09961,1028000000.00
2/11/2015,24512.61914,24551.74023,24266.67969,24315.01953,1261400000.00
2/12/2015,24377.58984,24514.49023,24226.28906,24422.15039,1472100000.00
2/13/2015,24535.66016,24702.53906,24521.13086,24682.53906,1342700000.00
2/16/2015,24717.49023,24771.59961,24687.15039,24726.5293,926600000.00
2/17/2015,24653.88086,24855.75,24653.88086,24784.88086,822900000.00
2/18/2015,24836.05078,24871.78906,24806.06055,24832.08008,975900000.00
2/23/2015,24916.24023,24916.24023,24664.67969,24836.75977,1019300000.00
2/24/2015,24776.7207,24808.30078,24673.92969,24750.07031,1076300000.00
2/25/2015,24822.2793,24869.36914,24691.7793,24778.2793,1387700000.00
2/26/2015,24718.2793,24998.64063,24709.56055,24902.06055,1803500000.00
2/27/2015,24902.60938,25101.96094,24815.0293,24823.28906,1504200000.00
3/2/2015,24996.75977,24997.83008,24715.38086,24887.43945,1543100000.00
3/3/2015,24984.61914,24984.61914,24663.42969,24702.7793,1499900000.00
3/4/2015,24656.93945,24705.96094,24439.28906,24465.38086,1618200000.00
3/5/2015,24274.90039,24393.84961,24133.71094,24193.03906,1923400000.00
3/6/2015,24235.75977,24294.35938,24126.08984,24164,1620600000.00
3/9/2015,23982.5,24205.85938,23910.16016,24123.05078,1619500000.00
3/10/2015,24150.67969,24152.40039,23869.82031,23896.98047,1521300000.00
3/11/2015,23807.09961,23899.85938,23703.83984,23717.9707,1678300000.00
3/12/2015,23709.16992,23880.25,23677.06055,23797.96094,1619100000.00
3/13/2015,23808.9707,23918.71094,23790.83008,23823.21094,1538400000.00
3/16/2015,23771.40039,23970.05078,23711.26953,23949.55078,1187700000.00
3/17/2015,24106.4707,24106.4707,23822.7793,23901.49023,1188600000.00
3/18/2015,23938.63086,24210.75,23938.63086,24120.08008,1668400000.00
3/19/2015,24325.56055,24500.23047,24248.83984,24468.89063,1826000000.00
3/20/2015,24417.5293,24524.55078,24351.5,24375.24023,2006100000.00
3/23/2015,24538.33984,24559.76953,24436.41992,24494.50977,1461200000.00
3/24/2015,24484.67969,24490.15039,24294.94922,24399.59961,1559000000.00
3/25/2015,24410.5293,24613.68945,24377.91992,24528.23047,1421300000.00
3/26/2015,24442.50977,24592.00977,24399.83984,24497.08008,1346200000.00
3/27/2015,24541.43945,24549.88086,24420.4707,24486.19922,1610400000.00
3/30/2015,24727.46094,24949.34961,24725.51953,24855.11914,2574100000.00
3/31/2015,25113.19922,25113.19922,24876.36914,24900.89063,2557000000.00
4/1/2015,24955.19922,25099.06055,24926.10938,25082.75,1713500000.00
4/2/2015,25214.33008,25297.80078,25152.57031,25275.64063,2106800000.00
4/8/2015,25708.24023,26247.63086,25640.03906,26236.85938,4101500000.00
4/9/2015,26913.2793,27922.66992,26732.23047,26944.39063,5024500000.00
4/10/2015,27373.67969,27373.67969,26812.75,27272.39063,3341200000.00
4/13/2015,27374.33008,28031.96094,27304.11914,28016.33984,4727100000.00
4/14/2015,27688.25977,27915.00977,27483.44922,27561.49023,3774100000.00
