Price,Open,High,Low,Close,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
1/5/2015,17325.67969,17540.91992,17219.2207,17408.71094,116500000
1/6/2015,17101.58008,17111.35938,16881.73047,16883.18945,166000000
1/7/2015,16808.25977,16974.60938,16808.25977,16885.33008,138600000
1/8/2015,17067.40039,17243.71094,17016.08984,17167.09961,140600000
1/9/2015,17318.74023,17342.65039,17129.5293,17197.73047,155200000
1/13/2015,16970.88086,17087.71094,16828.26953,17087.71094,149200000
1/14/2015,16961.82031,17036.7207,16770.56055,16795.96094,148500000
1/15/2015,16872.94922,17141.98047,16856.2207,17108.69922,147700000
1/16/2015,16812.96094,16864.33984,16592.57031,16864.16016,171100000
1/19/2015,17000.7793,17039.80078,16911.58008,17014.28906,128000000
1/20/2015,17071.65039,17366.30078,17066.76953,17366.30078,133000000
1/21/2015,17308.7207,17329.0293,17181.55078,17280.48047,136000000
1/22/2015,17306.64063,17355.74023,17229.21094,17329.01953,121900000
1/23/2015,17520.63086,17532.06055,17460.75977,17511.75,132500000
1/26/2015,17285.71094,17471.93945,17285.71094,17468.51953,111600000
1/27/2015,17649.40039,17768.41016,17633.4707,17768.30078,139700000
1/28/2015,17615.92969,17850.58984,17615.92969,17795.73047,141900000
1/29/2015,17666.91016,17778.83008,17575.09961,17606.2207,140000000
1/30/2015,17788.74023,17808.4707,17661.09961,17674.39063,173500000
2/2/2015,17536.60938,17628.40039,17459.44922,17558.03906,136000000
2/3/2015,17654.59961,17654.59961,17271.86914,17335.84961,169600000
2/4/2015,17549.30078,17743.10938,17535.03906,17678.74023,187000000
2/5/2015,17589.21094,17619.33984,17484.66992,17504.61914,185000000
2/6/2015,17696.17969,17700.66992,17603.07031,17648.5,142500000
2/9/2015,17790.31055,17799.49023,17653.60938,17711.92969,129500000
2/10/2015,17662.66992,17673.26953,17550.0293,17652.67969,123900000
2/12/2015,17899.40039,18005.44922,17884.33984,17979.7207,181200000
2/13/2015,17892.09961,17962.10938,17864.55078,17913.35938,162000000
2/16/2015,18024.00977,18074.25977,17978.90039,18004.76953,152600000
2/17/2015,17949.69922,18009.44922,17901.25977,17987.08984,142100000
2/18/2015,18103.98047,18202.60938,18092.32031,18199.16992,171600000
2/19/2015,18237.34961,18322.5,18237.34961,18264.78906,174100000
2/20/2015,18336.5,18360.91992,18297.66992,18332.30078,146300000
2/23/2015,18499.58008,18509.08008,18402.01953,18466.91992,157500000
2/24/2015,18468.39063,18603.48047,18427.98047,18603.48047,145200000
2/25/2015,18636.33984,18648.76953,18552.81055,18585.19922,139100000
2/26/2015,18587.86914,18790.83008,18587.13086,18785.78906,155500000
2/27/2015,18844.2793,18865.39063,18714.64063,18797.93945,174700000
3/2/2015,18869.40039,18939.16992,18775.23047,18826.88086,134800000
3/3/2015,18910.51953,18910.51953,18730.57031,18815.16016,154800000
3/4/2015,18716.7793,18732.66016,18586.83984,18703.59961,143300000
3/5/2015,18658.16016,18767.5,18655.35938,18751.83984,121900000
3/6/2015,18814.84961,18979.64063,18808.30078,18971,147100000
3/9/2015,18872.96094,18878.15039,18733.86914,18790.55078,118000000
3/10/2015,18891.00977,18924.38086,18577.06055,18665.10938,148300000
3/11/2015,18604.86914,18836.92969,18583.51953,18723.51953,130000000
3/12/2015,18787.09961,19008.13086,18774.41992,18991.10938,149700000
3/13/2015,19119.58008,19335.80078,19042.25,19254.25,227800000
3/16/2015,19245.38086,19349.19922,19226.71094,19246.06055,129000000
3/17/2015,19425.89063,19479.89063,19373.39063,19437,131800000
3/18/2015,19407.75977,19555.7207,19389.24023,19544.48047,134400000
3/19/2015,19514.64063,19557.16992,19312.69922,19476.56055,151100000
3/20/2015,19479.71094,19565.43945,19416.63086,19560.2207,137500000
3/23/2015,19607.98047,19778.59961,19584.73047,19754.35938,124400000
3/24/2015,19718.99023,19770.64063,19646.34961,19713.44922,141900000
3/25/2015,19745.75,19775.44922,19542.2207,19746.19922,145000000
3/26/2015,19605.59961,19623.10938,19397.00977,19471.11914,154800000
3/27/2015,19374.7207,19590.0293,19099.86914,19285.63086,178300000
3/30/2015,19295.21094,19474.07031,19227.28906,19411.40039,136300000
3/31/2015,19592.42969,19607.25,19206.99023,19206.99023,151600000
4/1/2015,19129.75,19195.23047,18927.94922,19034.83984,160400000
4/2/2015,19141.92969,19433.89063,19115.14063,19312.78906,147100000
4/3/2015,19289.03906,19435.08008,19289.03906,19435.08008,104700000
4/6/2015,19295.0293,19424.08984,19241.28906,19397.98047,96600000
4/7/2015,19539.0293,19667.48047,19501.31055,19640.53906,137000000
4/8/2015,19729.69922,19845.5293,19693.63086,19789.81055,140700000
4/9/2015,19851.11914,19957.32031,19822.49023,19937.7207,120000000
4/10/2015,19989.55078,20006,19845.31055,19907.63086,136200000
4/13/2015,19967.38086,19975.66016,19825.68945,19905.46094,107000000
4/14/2015,19828.65039,19922.5,19828.65039,19908.67969,111600000
4/15/2015,19838.5293,19913.41992,19823.85938,19869.75977,121600000
4/16/2015,19862.48047,19894.34961,19742.11914,19885.76953,174300000
4/17/2015,19810.40039,19815.25,19638.36914,19652.88086,188200000
4/20/2015,19501,19725.85938,19474.23047,19634.49023,144100000
4/21/2015,19731.57031,19909.08984,19678.2207,19909.08984,161600000
4/22/2015,19999.83984,20144.66016,19983,20133.90039,204400000
4/23/2015,20227.2793,20252.11914,20116.18945,20187.65039,200900000
4/24/2015,20142.4707,20142.4707,20013.74023,20020.03906,139700000
4/27/2015,20063.80078,20069.24023,19909.85938,19983.32031,123500000
4/28/2015,20068.65039,20133.7793,20031.71094,20058.94922,138700000
4/30/2015,19847.5,19852.66016,19502.60938,19520.00977,189100000
5/1/2015,19510.84961,19549.39063,19399.16016,19531.63086,154100000
5/7/2015,19356.46094,19461.08008,19257.84961,19291.99023,165700000
5/8/2015,19315.63086,19458.75,19302.71094,19379.18945,181600000
5/11/2015,19637.58008,19679.63086,19586.81055,19620.91016,214400000
5/12/2015,19608.23047,19626.75,19467.65039,19624.83984,203500000
5/13/2015,19568.75977,19791.88086,19494.69922,19764.7207,193600000
5/14/2015,19661.51953,19717.80078,19546.82031,19570.24023,171700000
5/15/2015,19693.16992,19750.75977,19633.75,19732.91992,178400000
5/18/2015,19766.16016,19890.26953,19741.2207,19890.26953,206800000
5/19/2015,19977.14063,20087.69922,19946.75,20026.38086,184100000
5/20/2015,20175.58984,20278.89063,20148.50977,20196.56055,176400000
5/21/2015,20215.46094,20320.90039,20175.7793,20202.86914,181800000
5/22/2015,20208.84961,20278.31055,20130.83984,20264.41016,141500000
5/25/2015,20331.91992,20417.76953,20318.53906,20413.76953,139800000
5/26/2015,20431.26953,20473.84961,20378.76953,20437.48047,130800000
5/27/2015,20380.64063,20513.2207,20363.21094,20472.58008,184700000
5/28/2015,20590.2793,20655.33008,20473.26953,20551.46094,241500000
5/29/2015,20510.26953,20636.41016,20508.40039,20563.15039,241100000
6/1/2015,20444.53906,20595.41016,20410.26953,20569.86914,173400000
6/2/2015,20604.66992,20619.60938,20470.25977,20543.18945,200400000
6/3/2015,20443.15039,20506.34961,20397.73047,20473.50977,163600000
6/4/2015,20539.93945,20552.46094,20438.21094,20488.18945,171700000
6/5/2015,20398.75977,20480.25,20363.17969,20460.90039,165800000
6/8/2015,20537.84961,20544.93945,20359.06055,20457.18945,139800000
6/9/2015,20293.05078,20332.41992,20095.48047,20096.30078,160700000
6/10/2015,20126.35938,20264.91992,20016.32031,20046.35938,183200000
6/11/2015,20183.60938,20382.9707,20178.03906,20382.9707,150400000
6/12/2015,20431.7793,20437.25977,20331.18945,20407.08008,189900000
6/15/2015,20205.09961,20401.48047,20205.09961,20387.78906,115700000
6/16/2015,20332.83008,20368.21094,20234.16016,20257.93945,133000000
6/17/2015,20306.09961,20323.08008,20126.57031,20219.26953,124200000
6/18/2015,20193.58984,20200.50977,19990.55078,19990.82031,134500000
6/19/2015,20152.41016,20194.44922,20075.91016,20174.24023,160900000
6/22/2015,20174.14063,20433.30078,20174.14063,20428.18945,140500000
6/23/2015,20547.74023,20809.41992,20531.13086,20809.41992,183300000
6/24/2015,20889.32031,20952.71094,20838.2207,20868.0293,166700000
6/25/2015,20777.68945,20866.58008,20758.59961,20771.40039,128300000
6/26/2015,20758.42969,20785.75977,20650,20706.15039,140100000
6/29/2015,20305.9707,20361.59961,20093.16016,20109.94922,165300000
6/30/2015,20174.60938,20243.17969,20118.25977,20235.73047,168100000
7/1/2015,20291.05078,20346.74023,20225.26953,20329.32031,123600000
7/2/2015,20565.93945,20601.73047,20479.84961,20522.5,137800000
7/3/2015,20476.68945,20557.50977,20431.25,20539.78906,145800000
7/6/2015,20200.15039,20310.7207,20012.23047,20112.11914,163700000
7/7/2015,20354.23047,20428,20337.17969,20376.58984,139300000
7/8/2015,20282.49023,20310.89063,19737.64063,19737.64063,207600000
7/9/2015,19422.7793,19855.5,19115.19922,19855.5,252900000
7/10/2015,19829.92969,19978.24023,19720.15039,19779.83008,193000000
