Price,Open,High,Low,Close,Volume
Ticker,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
Date,,,,,
1/2/2015,6566.100098,6607.899902,6510.600098,6547.799805,367562200
1/5/2015,6547.799805,6576.700195,6404.5,6417.200195,728001100
1/6/2015,6417.200195,6452.700195,6328.600098,6366.5,769463100
1/7/2015,6366.5,6459.700195,6366.5,6419.799805,688211500
1/8/2015,6419.799805,6580.799805,6419.799805,6570,882740200
1/9/2015,6570,6570.200195,6471.399902,6501.100098,738488500
1/12/2015,6501.100098,6542.399902,6447.899902,6501.399902,602313100
1/13/2015,6501.399902,6558.799805,6465.200195,6542.200195,673572900
1/14/2015,6542.200195,6542.200195,6353.700195,6388.5,971256900
1/15/2015,6388.5,6498.799805,6298.200195,6498.799805,980049600
1/16/2015,6498.799805,6553.200195,6443.299805,6550.299805,805741900
1/19/2015,6550.299805,6598.899902,6548,6585.5,537915700
1/20/2015,6585.5,6640.399902,6585.5,6620.100098,677002900
1/21/2015,6620.100098,6728,6620.100098,6728,847589600
1/22/2015,6728,6808.200195,6726.200195,6796.600098,926018400
1/23/2015,6796.600098,6841.700195,6796.600098,6832.799805,839368300
1/26/2015,6832.799805,6855.899902,6790.100098,6852.399902,611915000
1/27/2015,6852.399902,6865,6773.5,6811.600098,713907000
1/28/2015,6811.600098,6863,6777.100098,6825.899902,779603800
1/29/2015,6825.899902,6825.899902,6750.200195,6810.600098,704517100
1/30/2015,6810.600098,6844,6749.399902,6749.399902,799357300
2/2/2015,6749.399902,6795.5,6732,6782.600098,757554400
2/3/2015,6782.600098,6886.299805,6782.399902,6871.799805,855708500
2/4/2015,6871.799805,6883.5,6804.100098,6860,817845800
2/5/2015,6860,6870.100098,6808.200195,6865.899902,731200400
2/6/2015,6865.899902,6886.200195,6835.5,6853.399902,648533700
2/9/2015,6853.399902,6853.399902,6778,6837.200195,620697200
2/10/2015,6837.200195,6843.899902,6788.899902,6829.100098,773108400
2/11/2015,6829.100098,6838.299805,6786.100098,6818.200195,623275800
2/12/2015,6818.200195,6854.600098,6817.200195,6828.100098,809863300
2/13/2015,6828.100098,6887.600098,6828.100098,6873.5,734854200
2/16/2015,6873.5,6878.700195,6851.799805,6857.100098,415979100
2/17/2015,6857.100098,6898.100098,6819.799805,6898.100098,612932700
2/18/2015,6898.100098,6921.299805,6876.299805,6898.100098,677405400
2/19/2015,6898.100098,6907.299805,6858.700195,6888.899902,641759700
2/20/2015,6888.899902,6920.5,6884.799805,6915.200195,764028800
2/23/2015,6915.200195,6943.600098,6885.899902,6912.200195,680805600
2/24/2015,6912.200195,6958.899902,6899.600098,6949.600098,831640000
2/25/2015,6949.600098,6955.399902,6904.899902,6935.399902,697704800
2/26/2015,6935.399902,6950,6920.5,6949.700195,782087000
2/27/2015,6949.700195,6967.200195,6929.799805,6946.700195,881579100
3/2/2015,6946.700195,6974.299805,6924.299805,6940.600098,778879400
3/3/2015,6940.600098,6963.600098,6889.100098,6889.100098,784037600
3/4/2015,6889.100098,6919.200195,6862.899902,6919.200195,741168200
3/5/2015,6919.200195,6968.600098,6914.100098,6961.100098,798406800
3/6/2015,6961.100098,6961.200195,6911.799805,6911.799805,748637900
3/9/2015,6911.799805,6911.799805,6859.799805,6876.5,670579200
3/10/2015,6876.5,6876.899902,6702.799805,6702.799805,887272000
3/11/2015,6702.799805,6739,6693.799805,6721.5,746833900
3/12/2015,6721.5,6799.799805,6721.5,6761.100098,845927100
3/13/2015,6761.100098,6777.799805,6713.5,6740.600098,710321200
3/16/2015,6740.600098,6809.100098,6740.600098,6804.100098,685731900
3/17/2015,6804.100098,6846.899902,6798.5,6837.600098,757362800
3/18/2015,6837.600098,6945.200195,6837.299805,6945.200195,772632700
3/19/2015,6945.200195,6982.799805,6929.700195,6962.299805,809174400
3/20/2015,6962.299805,7024.200195,6960.799805,7022.5,1419421400
3/23/2015,7022.5,7037.700195,6991.399902,7037.700195,673591200
3/24/2015,7037.700195,7065.100098,7012.5,7019.700195,702620900
3/25/2015,7019.700195,7035.100098,6983.899902,6991,645837600
3/26/2015,6991,6991,6876.799805,6895.299805,936518300
3/27/2015,6895.299805,6910.600098,6839.899902,6855,736697300
3/30/2015,6855,6914.600098,6855,6891.399902,639393900
3/31/2015,6891.399902,6910.100098,6765.100098,6773,900335700
4/1/2015,6773,6856.399902,6765.399902,6809.5,800482200
4/2/2015,6809.5,6849.899902,6801.299805,6833.5,575894800
4/7/2015,6833.5,6967.700195,6833.5,6961.799805,704104300
4/8/2015,6961.799805,7012.100098,6931.600098,6937.399902,865524000
4/9/2015,6937.399902,7017,6937.399902,7015.399902,698600800
4/10/2015,7015.399902,7095.399902,7015.399902,7089.799805,801926500
4/13/2015,7089.799805,7089.799805,7046.700195,7064.299805,592637100
4/14/2015,7064.299805,7086.100098,7044.600098,7075.299805,669927300
4/15/2015,7075.299805,7111.700195,7058.299805,7096.799805,722590500
4/16/2015,7096.799805,7119.399902,7057.700195,7060.5,750900800
4/17/2015,7060.5,7093.5,6979.299805,6994.600098,776519900
4/20/2015,6994.600098,7067.799805,6994.600098,7052.100098,583888000
4/21/2015,7052.100098,7105.100098,7030,7062.899902,655787700
4/22/2015,7062.899902,7092.299805,6997.200195,7028.200195,785146300
4/23/2015,7028.200195,7055.200195,6995.799805,7053.700195,714656500
4/24/2015,7053.700195,7102.600098,7051.200195,7070.700195,796682000
4/27/2015,7070.700195,7122.700195,7025.299805,7104,679761700
4/28/2015,7104,7104,6984,7030.5,796371600
4/29/2015,7030.5,7058.200195,6945.600098,6946.299805,767322400
4/30/2015,6946.299805,6970.299805,6906.200195,6960.600098,906266700
5/1/2015,6960.600098,6995.399902,6919.399902,6986,838058900
5/5/2015,6986,7053.200195,6927.600098,6927.600098,1019856100
5/6/2015,6927.600098,6974.799805,6913.5,6933.700195,883946300
5/7/2015,6933.700195,6933.700195,6810.100098,6887,945024800
5/8/2015,6887,7046.799805,6885.799805,7046.799805,1385914100
5/11/2015,7046.799805,7083.700195,7025.200195,7029.899902,792210200
5/12/2015,7029.899902,7029.899902,6887.5,6933.799805,839991900
5/13/2015,6933.799805,6989.899902,6920.700195,6949.600098,795743700
5/14/2015,6949.600098,6977.899902,6884.600098,6973,603503300
5/15/2015,6973,7009.399902,6937.100098,6960.5,703827400
5/18/2015,6960.5,7015.5,6931.600098,6968.899902,614216300
5/19/2015,6968.899902,7011.399902,6968.899902,6995.100098,778022500
5/20/2015,6995.100098,7018.700195,6962.100098,7007.299805,825148300
5/21/2015,7007.299805,7026,6994.299805,7013.5,565597600
5/22/2015,7013.5,7061.700195,7013.5,7031.700195,621811200
5/26/2015,7031.700195,7039.600098,6930.299805,6949,672679700
5/27/2015,6949,7054.100098,6948.600098,7033.299805,648739500
5/28/2015,7033.299805,7049.600098,7005.899902,7040.899902,606689900
5/29/2015,7040.899902,7069.899902,6967.899902,6984.399902,1177305700
6/1/2015,6984.399902,7037.600098,6942.700195,6953.600098,694968900
6/2/2015,6953.600098,6972.299805,6872.100098,6928.299805,864607700
6/3/2015,6928.299805,6985.700195,6901.799805,6950.5,701168000
6/4/2015,6950.5,6950.5,6839,6859.200195,783604900
6/5/2015,6859.200195,6859.200195,6785.200195,6804.600098,754508500
6/8/2015,6804.600098,6827.200195,6781.700195,6790,539187300
6/9/2015,6790,6803.799805,6736.899902,6753.799805,682109200
6/10/2015,6753.799805,6843.600098,6734.200195,6830.299805,818584900
6/11/2015,6830.299805,6870.200195,6807.299805,6846.700195,678574100
6/12/2015,6846.700195,6846.700195,6760.100098,6784.899902,592427400
6/15/2015,6784.899902,6784.899902,6708.5,6710.5,557004700
6/16/2015,6710.5,6723.5,6656.899902,6710.100098,718299200
6/17/2015,6710.100098,6731.5,6666,6680.600098,685273800
6/18/2015,6680.600098,6707.899902,6625.200195,6707.899902,773442100
