"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2026","246,681.42","247,605.83","249,312.91","244,127.17","","-0.48%"
"04/30/2026","247,875.13","240,859.14","249,313.91","240,587.78","","2.91%"
"04/29/2026","240,864.16","242,832.80","243,566.73","238,667.13","","-0.82%"
"04/28/2026","242,851.64","246,101.73","247,080.84","240,575.58","","-1.30%"
"04/27/2026","246,050.78","248,135.94","249,185.64","245,248.72","","-0.70%"
"04/24/2026","247,780.80","246,954.34","249,449.28","245,085.23","","0.34%"
"04/23/2026","246,945.20","246,481.61","249,596.17","244,067.09","","0.18%"
"04/22/2026","246,511.84","244,254.63","247,957.25","243,586.55","","0.93%"
"04/21/2026","244,244.30","250,625.84","251,334.00","241,566.73","","-2.56%"
"04/20/2026","250,669.58","249,879.91","251,080.69","245,031.80","","0.32%"
"04/17/2026","249,865.75","247,900.02","253,384.05","246,811.70","","0.79%"
"04/16/2026","247,905.31","248,898.98","251,645.91","247,302.94","","-0.42%"
"04/15/2026","248,944.55","253,863.58","255,379.02","248,727.09","","-1.95%"
"04/14/2026","253,896.31","251,991.88","254,901.67","249,807.59","","0.75%"
"04/13/2026","252,011.45","252,257.38","252,504.91","246,792.91","","-0.02%"
"04/10/2026","252,073.77","253,012.89","254,588.88","251,170.69","","-0.38%"
"04/09/2026","253,029.16","251,298.00","254,912.44","250,198.23","","0.68%"
"04/08/2026","251,328.33","257,378.02","265,590.91","250,246.28","","-2.34%"
"04/07/2026","257,361.94","252,875.06","258,040.88","251,084.80","","1.78%"
"04/06/2026","252,850.27","254,663.41","256,702.81","250,620.88","","-0.52%"
"04/03/2026","254,163.20","253,703.59","254,163.20","253,650.06","","0.17%"
"04/02/2026","253,723.50","254,690.70","256,949.31","244,273.38","","-0.37%"
"04/01/2026","254,672.28","254,604.95","259,187.89","251,759.72","","0.02%"
