id,region,ticker,date,value
1,usa,nominal_gdp_historical_data_annual_change,2016-01-01,18525.933
2,usa,nominal_gdp_historical_data_annual_change,2016-04-01,18711.702
3,usa,nominal_gdp_historical_data_annual_change,2016-07-01,18892.639
4,usa,nominal_gdp_historical_data_annual_change,2016-10-01,19089.379
5,usa,nominal_gdp_historical_data_annual_change,2017-01-01,19280.084
6,usa,nominal_gdp_historical_data_annual_change,2017-04-01,19438.643
7,usa,nominal_gdp_historical_data_annual_change,2017-07-01,19692.595
8,usa,nominal_gdp_historical_data_annual_change,2017-10-01,20037.088
9,usa,nominal_gdp_historical_data_annual_change,2018-01-01,20328.553
10,usa,nominal_gdp_historical_data_annual_change,2018-04-01,20580.912
11,usa,nominal_gdp_historical_data_annual_change,2018-07-01,20798.73
12,usa,nominal_gdp_historical_data_annual_change,2018-10-01,20917.867
13,usa,nominal_gdp_historical_data_annual_change,2019-01-01,21111.6
14,usa,nominal_gdp_historical_data_annual_change,2019-04-01,21397.938
15,usa,nominal_gdp_historical_data_annual_change,2019-07-01,21717.171
16,usa,nominal_gdp_historical_data_annual_change,2019-10-01,21933.217
17,usa,nominal_gdp_historical_data_annual_change,2020-01-01,21751.238
18,usa,nominal_gdp_historical_data_annual_change,2020-04-01,19958.291
19,usa,nominal_gdp_historical_data_annual_change,2020-07-01,21704.437
20,usa,nominal_gdp_historical_data_annual_change,2020-10-01,22087.16
21,usa,nominal_gdp_historical_data_annual_change,2021-01-01,22680.693
22,usa,nominal_gdp_historical_data_annual_change,2021-04-01,23425.91
23,usa,nominal_gdp_historical_data_annual_change,2021-07-01,23982.379
24,usa,nominal_gdp_historical_data_annual_change,2021-10-01,24813.6
25,usa,nominal_gdp_historical_data_annual_change,2022-01-01,25250.347
26,usa,nominal_gdp_historical_data_annual_change,2022-04-01,25861.292
27,usa,nominal_gdp_historical_data_annual_change,2022-07-01,26336.304
28,usa,nominal_gdp_historical_data_annual_change,2022-10-01,26770.514
29,usa,nominal_gdp_historical_data_annual_change,2023-01-01,27216.445
30,usa,nominal_gdp_historical_data_annual_change,2023-04-01,27530.055
31,usa,nominal_gdp_historical_data_annual_change,2023-07-01,28074.846
32,usa,nominal_gdp_historical_data_annual_change,2023-10-01,28424.722
33,usa,nominal_gdp_historical_data_annual_change,2024-01-01,28708.161
34,usa,nominal_gdp_historical_data_annual_change,2024-04-01,29147.044
35,usa,nominal_gdp_historical_data_annual_change,2024-07-01,29511.664
36,usa,nominal_gdp_historical_data_annual_change,2024-10-01,29825.182
37,usa,nominal_gdp_historical_data_annual_change,2025-01-01,30042.113
38,usa,nominal_gdp_historical_data_annual_change,2025-04-01,30485.729
39,usa,nominal_gdp_historical_data_annual_change,2025-07-01,31098.027
40,usa,nominal_gdp_historical_data_annual_change,2025-10-01,31422.526
41,usa,nominal_gdp_historical_data_annual_change,2026-01-01,31856.257
