id,region,ticker,date,value
1,usa,real_gdp_historical_data_annual_change,2016-01-01,19001.69
2,usa,real_gdp_historical_data_annual_change,2016-04-01,19062.709
3,usa,real_gdp_historical_data_annual_change,2016-07-01,19197.938
4,usa,real_gdp_historical_data_annual_change,2016-10-01,19304.352
5,usa,real_gdp_historical_data_annual_change,2017-01-01,19398.343
6,usa,real_gdp_historical_data_annual_change,2017-04-01,19506.949
7,usa,real_gdp_historical_data_annual_change,2017-07-01,19660.766
8,usa,real_gdp_historical_data_annual_change,2017-10-01,19882.352
9,usa,real_gdp_historical_data_annual_change,2018-01-01,20044.077
10,usa,real_gdp_historical_data_annual_change,2018-04-01,20150.476
11,usa,real_gdp_historical_data_annual_change,2018-07-01,20276.154
12,usa,real_gdp_historical_data_annual_change,2018-10-01,20304.874
13,usa,real_gdp_historical_data_annual_change,2019-01-01,20431.641
14,usa,real_gdp_historical_data_annual_change,2019-04-01,20602.275
15,usa,real_gdp_historical_data_annual_change,2019-07-01,20843.322
16,usa,real_gdp_historical_data_annual_change,2019-10-01,20985.448
17,usa,real_gdp_historical_data_annual_change,2020-01-01,20709.212
18,usa,real_gdp_historical_data_annual_change,2020-04-01,19077.992
19,usa,real_gdp_historical_data_annual_change,2020-07-01,20558.879
20,usa,real_gdp_historical_data_annual_change,2020-10-01,20791.917
21,usa,real_gdp_historical_data_annual_change,2021-01-01,21082.134
22,usa,real_gdp_historical_data_annual_change,2021-04-01,21440.929
23,usa,real_gdp_historical_data_annual_change,2021-07-01,21617.828
24,usa,real_gdp_historical_data_annual_change,2021-10-01,21988.737
25,usa,real_gdp_historical_data_annual_change,2022-01-01,21932.71
26,usa,real_gdp_historical_data_annual_change,2022-04-01,21967.045
27,usa,real_gdp_historical_data_annual_change,2022-07-01,22125.625
28,usa,real_gdp_historical_data_annual_change,2022-10-01,22278.345
29,usa,real_gdp_historical_data_annual_change,2023-01-01,22439.607
30,usa,real_gdp_historical_data_annual_change,2023-04-01,22580.499
31,usa,real_gdp_historical_data_annual_change,2023-07-01,22840.989
32,usa,real_gdp_historical_data_annual_change,2023-10-01,23033.78
33,usa,real_gdp_historical_data_annual_change,2024-01-01,23082.119
34,usa,real_gdp_historical_data_annual_change,2024-04-01,23286.508
35,usa,real_gdp_historical_data_annual_change,2024-07-01,23478.57
36,usa,real_gdp_historical_data_annual_change,2024-10-01,23586.542
37,usa,real_gdp_historical_data_annual_change,2025-01-01,23548.21
38,usa,real_gdp_historical_data_annual_change,2025-04-01,23770.976
39,usa,real_gdp_historical_data_annual_change,2025-07-01,24026.834
40,usa,real_gdp_historical_data_annual_change,2025-10-01,24055.749
