id,date,region,headline_inflation_yy,core_inflation_yy
1,01/01/2016,egypt,10.10%,7.73%
2,01/02/2016,egypt,9.13%,7.50%
3,01/03/2016,egypt,9.02%,8.42%
4,01/04/2016,egypt,10.27%,9.51%
5,01/05/2016,egypt,12.30%,12.23%
6,01/06/2016,egypt,13.97%,12.37%
7,01/07/2016,egypt,14.00%,12.31%
8,01/08/2016,egypt,15.47%,13.25%
9,01/09/2016,egypt,14.09%,13.94%
10,01/10/2016,egypt,13.56%,15.72%
11,01/11/2016,egypt,19.43%,20.73%
12,01/12/2016,egypt,23.27%,25.86%
13,01/01/2017,egypt,28.14%,30.86%
14,01/02/2017,egypt,30.25%,33.10%
15,01/03/2017,egypt,30.91%,32.25%
16,01/04/2017,egypt,31.46%,32.06%
17,01/05/2017,egypt,29.71%,30.57%
18,01/06/2017,egypt,29.76%,31.95%
19,01/07/2017,egypt,32.95%,35.26%
20,01/08/2017,egypt,31.92%,34.86%
21,01/09/2017,egypt,31.59%,33.26%
22,01/10/2017,egypt,30.82%,30.53%
23,01/11/2017,egypt,25.98%,25.54%
24,01/12/2017,egypt,21.90%,19.86%
25,01/01/2018,egypt,17.07%,14.35%
26,01/02/2018,egypt,14.40%,11.88%
27,01/03/2018,egypt,13.32%,11.59%
28,01/04/2018,egypt,13.12%,11.62%
29,01/05/2018,egypt,11.45%,11.09%
30,01/06/2018,egypt,14.38%,10.90%
31,01/07/2018,egypt,13.51%,8.54%
32,01/08/2018,egypt,14.24%,8.83%
33,01/09/2018,egypt,15.97%,8.55%
34,01/10/2018,egypt,17.68%,8.86%
35,01/11/2018,egypt,15.66%,7.94%
36,01/12/2018,egypt,11.97%,8.30%
37,01/01/2019,egypt,12.71%,8.57%
38,01/02/2019,egypt,14.35%,9.20%
39,01/03/2019,egypt,14.16%,8.93%
40,01/04/2019,egypt,13.02%,8.11%
41,01/05/2019,egypt,14.09%,7.83%
42,01/06/2019,egypt,9.38%,6.40%
43,01/07/2019,egypt,8.66%,5.90%
44,01/08/2019,egypt,7.46%,4.91%
45,01/09/2019,egypt,4.77%,2.60%
46,01/10/2019,egypt,3.15%,2.72%
47,01/11/2019,egypt,3.63%,2.11%
48,01/12/2019,egypt,7.10%,2.37%
49,01/01/2020,egypt,7.17%,2.66%
50,01/02/2020,egypt,5.32%,1.92%
51,01/03/2020,egypt,5.09%,1.89%
52,01/04/2020,egypt,5.88%,2.54%
53,01/05/2020,egypt,4.70%,1.54%
54,01/06/2020,egypt,5.63%,0.95%
55,01/07/2020,egypt,4.20%,0.72%
56,01/08/2020,egypt,3.37%,0.84%
57,01/09/2020,egypt,3.69%,3.26%
58,01/10/2020,egypt,4.52%,3.89%
59,01/11/2020,egypt,5.70%,4.02%
60,01/12/2020,egypt,5.43%,3.80%
61,01/01/2021,egypt,4.29%,3.64%
62,01/02/2021,egypt,4.46%,3.65%
63,01/03/2021,egypt,4.48%,3.67%
64,01/04/2021,egypt,4.10%,3.33%
65,01/05/2021,egypt,4.83%,3.41%
66,01/06/2021,egypt,4.93%,3.85%
67,01/07/2021,egypt,5.45%,4.57%
68,01/08/2021,egypt,5.68%,4.53%
69,01/09/2021,egypt,6.58%,4.85%
70,01/10/2021,egypt,6.27%,5.22%
71,01/11/2021,egypt,5.56%,5.79%
72,01/12/2021,egypt,5.90%,5.97%
73,01/01/2022,egypt,7.26%,6.27%
74,01/02/2022,egypt,8.82%,7.23%
75,01/03/2022,egypt,10.49%,10.06%
76,01/04/2022,egypt,13.11%,11.94%
77,01/05/2022,egypt,13.53%,13.34%
78,01/06/2022,egypt,13.16%,14.57%
79,01/07/2022,egypt,13.64%,15.64%
80,01/08/2022,egypt,14.56%,16.66%
81,01/09/2022,egypt,15.02%,18.00%
82,01/10/2022,egypt,16.24%,19.02%
83,01/11/2022,egypt,18.72%,21.53%
84,01/12/2022,egypt,21.27%,24.45%
85,01/01/2023,egypt,25.83%,31.24%
86,01/02/2023,egypt,31.93%,40.26%
87,01/03/2023,egypt,32.67%,39.51%
88,01/04/2023,egypt,30.60%,38.58%
89,01/05/2023,egypt,32.75%,40.31%
90,01/06/2023,egypt,35.71%,41.00%
91,01/07/2023,egypt,36.46%,40.73%
92,01/08/2023,egypt,37.42%,40.38%
93,01/09/2023,egypt,38.00%,39.70%
94,01/10/2023,egypt,35.80%,38.10%
95,01/11/2023,egypt,34.55%,35.86%
96,01/12/2023,egypt,33.70%,34.18%
97,01/01/2024,egypt,29.80%,29.01%
98,01/02/2024,egypt,35.71%,35.12%
99,01/03/2024,egypt,33.34%,33.66%
100,01/04/2024,egypt,32.54%,31.81%
101,01/05/2024,egypt,28.15%,27.13%
102,01/06/2024,egypt,27.51%,26.64%
103,01/07/2024,egypt,25.67%,24.38%
104,01/08/2024,egypt,26.25%,25.13%
105,01/09/2024,egypt,26.40%,24.97%
106,01/10/2024,egypt,26.53%,24.40%
107,01/11/2024,egypt,25.54%,23.71%
108,01/12/2024,egypt,24.06%,23.22%
109,01/01/2025,egypt,23.95%,22.59%
110,01/02/2025,egypt,12.84%,10.01%
111,01/03/2025,egypt,13.62%,9.41%
112,01/04/2025,egypt,13.90%,10.40%
113,01/05/2025,egypt,16.80%,13.10%
114,01/06/2025,egypt,14.90%,11.40%
115,01/07/2025,egypt,13.90%,11.60%
116,01/08/2025,egypt,12.00%,10.70%
117,01/09/2025,egypt,11.70%,11.30%
118,01/10/2025,egypt,12.50%,12.10%
119,01/11/2025,egypt,12.30%,12.50%
120,01/12/2025,egypt,12.30%,11.80%
121,01/01/2026,egypt,11.90%,11.20%
122,01/02/2026,egypt,13.40%,12.70%
